Municipio,Base,time,TNx,TNn,TXx,TXn,TX90p,Tn90p,WD30,WN22,Frost,Tn10p,TXMCD,Tmin7,Tmin3,Tmin2,Tmin1,Tmax10,Tmax7,PRCPTOT,Drydays,Wetdays,CWD,CDD,Wet20mm,Prec-Intensity,rx1day,rx5day,r95p,pr-wet-qrt,pr-dry-qrt
Abadia_dos_Dourados,ERA5,1995-01-01,23.25,18.73,32.88,24.53,5,6,12,6,0,1,26.0,0,0,0,0,0,0,145.3,9,22,12.0,7.0,2,6.53,24.07,61.0,3,,
Abadia_dos_Dourados,ERA5,1995-02-01,21.84,18.93,31.85,23.43,3,0,5,0,0,2,12.0,0,0,0,0,0,0,274.7,7,21,21.0,7.0,3,13.04,64.56,133.75,5,,
Abadia_dos_Dourados,ERA5,1995-03-01,22.68,19.08,32.33,24.58,2,5,8,2,0,2,23.0,0,0,0,0,0,0,133.36,10,21,10.0,6.0,1,6.15,21.67,36.59,2,561.79,561.79
Abadia_dos_Dourados,ERA5,1995-04-01,21.59,15.62,29.15,22.65,0,1,0,0,0,2,18.0,0,0,0,0,0,0,71.48,16,14,3.0,4.0,0,4.56,14.48,42.29,0,538.4,397.31
Abadia_dos_Dourados,ERA5,1995-05-01,20.97,14.31,30.31,21.52,2,4,2,0,0,0,13.0,0,0,0,0,0,0,78.06,25,6,3.0,12.0,1,11.98,31.84,65.05,2,343.14,279.55
Abadia_dos_Dourados,ERA5,1995-06-01,18.07,10.3,27.69,23.54,0,1,0,0,0,6,12.0,0,0,0,0,0,0,8.2,28,2,2.0,21.0,0,3.48,4.97,7.95,0,263.97,149.31
Abadia_dos_Dourados,ERA5,1995-07-01,18.72,14.74,28.43,24.23,1,6,0,0,0,0,19.0,0,0,0,0,0,0,0.47,31,0,0.0,31.0,0,,0.18,0.19,0,130.72,54.26
Abadia_dos_Dourados,ERA5,1995-08-01,20.47,14.65,33.15,26.09,6,5,12,0,0,5,31.0,0,0,0,0,0,0,0.04,31,0,0.0,31.0,0,,0.03,0.04,0,14.09,8.71
Abadia_dos_Dourados,ERA5,1995-09-01,22.58,15.64,34.42,26.09,2,0,15,2,0,5,30.0,0,0,0,0,0,0,21.48,23,7,2.0,15.0,0,2.8,3.79,10.57,0,21.99,8.71
Abadia_dos_Dourados,ERA5,1995-10-01,23.34,16.55,34.39,23.8,0,0,14,2,0,6,29.0,0,0,0,0,0,0,117.27,16,15,4.0,7.0,1,7.68,21.42,48.54,3,245.5,26.45
Abadia_dos_Dourados,ERA5,1995-11-01,21.09,16.85,31.31,20.49,1,0,5,0,0,10,10.0,0,0,0,0,0,0,202.27,10,20,9.0,4.0,2,9.95,54.26,122.87,2,341.95,250.76
Abadia_dos_Dourados,ERA5,1995-12-01,21.19,18.87,30.96,22.75,1,0,4,0,0,4,11.0,0,0,0,0,0,0,245.19,2,29,29.0,2.0,2,8.42,23.58,83.5,4,697.33,366.19
Abadia_dos_Dourados,ERA5,1996-01-01,21.87,19.04,31.85,20.76,5,1,10,0,0,4,20.0,0,0,0,0,0,0,230.65,15,16,13.0,10.0,2,14.18,78.47,134.22,3,711.58,584.19
Abadia_dos_Dourados,ERA5,1996-02-01,23.36,19.44,32.3,23.76,6,8,12,8,0,0,22.0,0,0,0,0,0,0,102.86,13,16,7.0,5.0,0,6.19,17.66,50.1,1,620.83,578.63
Abadia_dos_Dourados,ERA5,1996-03-01,21.87,19.6,31.77,22.14,3,0,6,0,0,0,19.0,0,0,0,0,0,0,145.2,11,20,11.0,4.0,2,7.04,22.15,49.97,2,619.3,342.08
Abadia_dos_Dourados,ERA5,1996-04-01,22.09,16.79,31.97,22.6,6,3,10,1,0,2,14.0,0,0,0,0,0,0,59.98,23,7,7.0,12.0,0,8.15,13.32,42.04,0,314.3,287.6
Abadia_dos_Dourados,ERA5,1996-05-01,19.94,16.03,28.29,21.92,0,4,0,0,0,0,9.0,0,0,0,0,0,0,31.69,23,8,3.0,9.0,0,3.71,7.25,14.41,0,267.84,224.61
Abadia_dos_Dourados,ERA5,1996-06-01,17.97,9.55,29.71,17.37,2,0,0,0,0,7,13.0,0,0,0,0,0,0,15.05,28,2,2.0,27.0,0,7.08,10.62,14.25,0,171.89,104.66
Abadia_dos_Dourados,ERA5,1996-07-01,17.66,10.39,29.49,23.28,2,1,0,0,0,5,11.0,0,0,0,0,0,0,4.16,29,2,2.0,29.0,0,2.06,2.92,14.25,0,88.88,47.02
Abadia_dos_Dourados,ERA5,1996-08-01,21.12,13.63,32.02,25.17,1,5,7,0,0,1,31.0,0,0,0,0,0,0,14.74,30,1,1.0,16.0,0,11.93,11.93,13.81,0,46.88,33.95
Abadia_dos_Dourados,ERA5,1996-09-01,22.25,15.66,34.76,19.69,0,0,11,4,0,5,20.0,0,0,0,0,0,0,50.78,20,10,2.0,6.0,0,4.71,19.04,27.9,1,110.35,64.95
Abadia_dos_Dourados,ERA5,1996-10-01,23.54,18.51,33.16,24.46,0,3,16,6,0,2,15.0,0,0,0,0,0,0,90.71,16,15,7.0,10.0,1,5.72,22.74,42.81,1,191.26,122.31
Abadia_dos_Dourados,ERA5,1996-11-01,22.52,18.41,31.97,20.8,0,1,5,2,0,3,13.0,0,0,0,0,0,0,288.09,11,19,10.0,8.0,5,15.05,60.69,146.71,7,429.59,227.76
Abadia_dos_Dourados,ERA5,1996-12-01,22.01,17.23,31.45,23.27,1,2,1,1,0,2,17.0,0,0,0,0,0,0,212.26,4,27,12.0,2.0,0,7.74,17.97,63.09,1,663.38,427.27
Abadia_dos_Dourados,ERA5,1997-01-01,22.57,19.39,29.91,21.74,0,2,0,2,0,2,11.0,0,0,0,0,0,0,360.92,2,29,16.0,1.0,5,12.42,53.81,152.01,7,834.37,729.34
Abadia_dos_Dourados,ERA5,1997-02-01,21.69,18.88,31.0,21.46,1,0,4,0,0,3,25.0,0,0,0,0,0,0,100.37,11,17,5.0,4.0,0,5.63,18.46,52.71,1,823.37,644.92
Abadia_dos_Dourados,ERA5,1997-03-01,21.97,17.99,29.58,18.18,0,0,0,0,0,4,12.0,0,0,0,0,0,0,207.03,11,20,8.0,6.0,3,10.07,38.09,87.15,3,718.3,595.23
Abadia_dos_Dourados,ERA5,1997-04-01,20.43,16.3,28.83,23.42,0,0,0,0,0,6,9.0,0,0,0,0,0,0,78.26,17,13,3.0,8.0,1,5.67,37.37,124.32,1,525.02,378.11
Abadia_dos_Dourados,ERA5,1997-05-01,18.94,14.34,28.15,18.27,0,0,0,0,0,0,13.0,0,0,0,0,0,0,40.22,24,7,2.0,14.0,1,5.24,20.36,26.67,1,372.19,303.97
Abadia_dos_Dourados,ERA5,1997-06-01,18.92,7.45,27.7,18.76,0,1,0,0,0,5,9.0,0,0,0,0,0,0,68.37,24,6,3.0,14.0,0,11.06,17.49,38.06,2,286.86,146.92
Abadia_dos_Dourados,ERA5,1997-07-01,17.87,12.05,27.38,22.78,0,1,0,0,0,5,7.0,0,0,0,0,0,0,0.82,31,0,0.0,31.0,0,,0.3,0.81,0,139.19,108.82
Abadia_dos_Dourados,ERA5,1997-08-01,20.01,12.7,31.25,23.87,1,1,5,0,0,4,21.0,0,0,0,0,0,0,0.18,31,0,0.0,31.0,0,,0.17,0.17,0,108.85,40.38
Abadia_dos_Dourados,ERA5,1997-09-01,23.16,13.27,34.09,26.55,2,3,23,4,0,3,30.0,0,0,0,0,0,0,62.0,17,13,12.0,15.0,0,4.58,16.02,33.59,1,69.52,22.45
Abadia_dos_Dourados,ERA5,1997-10-01,25.09,16.83,36.01,26.03,2,3,23,9,0,1,31.0,0,0,0,0,0,0,88.41,22,9,4.0,13.0,1,9.39,25.11,40.58,1,150.77,69.7
Abadia_dos_Dourados,ERA5,1997-11-01,24.62,19.3,35.36,24.19,11,11,14,11,0,0,28.0,0,0,0,0,0,0,150.09,8,22,13.0,6.0,1,6.79,34.33,66.23,1,366.79,153.41
Abadia_dos_Dourados,ERA5,1997-12-01,22.98,18.39,32.46,22.06,4,2,8,2,0,1,13.0,0,0,0,0,0,0,236.62,7,24,19.0,5.0,1,9.8,30.52,89.48,3,481.02,427.69
Abadia_dos_Dourados,ERA5,1998-01-01,23.34,19.19,33.33,24.02,6,5,7,6,0,1,14.0,0,0,0,0,0,0,143.92,9,22,9.0,5.0,1,6.43,25.18,67.19,3,543.38,530.43
