Ano	Janeiro	Fevereiro	Março	Abril	Maio	Junho	Julho	Agosto	Setembro	Outubro	Novembro	Dezembro
2025	376,04	444,27	445,06	444,47	420,01	389,12						
2024	197,58	202,5	205,74	223,74	230,3	229,76	219,53	230,37	236,77	259,97	298,22	339,04
2023	199,83	218,09	211,29	223,02	206,79	191,91	183,3	177,29	162,63	158,18	172,58	188,69
2022	268,93	285,44	252,79	263,19	254,56	248,68	208,65	209,34	210,58	196,61	174,62	189,21
2021	119,57	128	128,62	134,43	153,33	158,15	147,75	146,91	161,35	201,05	231,62	255,5
2020	120,27	112,9	116,75	109,05	100,66	98,75	101,41	101,67	101,87	92,77	102,02	114,36
2019	107,04	107,01	101,13	97,74	98,2	110,88	117,05	103,89	101,09	99,45	108,14	125,25
2018	134,87	132,63	128,66	126,31	123,19	123,18	125,22	117,15	107,23	112,76	113,25	105,41
2017	161,54	163,06	155,9	153,2	146,12	143,5	159,13	162,52	152,7	136,62	138,43	136,65
2016	121,39	120,82	135,5	134,36	135,26	145,22	155,8	156,61	155,21	160,15	165,98	149,58
2015	177,74	165,62	149,16	149,45	144,79	151,12	135,75	135,27	119,6	122,08	117,53	123,18
2014	115,33	142,68	185,2	193,21	181,83	172,37	169,27	175,89	170,38	187,05	182,75	177,33
2013	163,49	156,48	151,97	148,82	150,82	130,72	132,13	124,29	121,96	113,4	102,47	107,92
2012	266,02	258,87	225,65	201,28	194,52	178,69	207,31	198,94	194,55	186,45	168,13	160,54
2011	242,24	284,31	297,9	319,37	310,14	305,53	284,72	277,05	261,9	259,27	267,47	259,41
2010	158,75	149,04	149,91	147,21	145,05	158,45	166,5	167,17	169,77	175,63	184,42	203,78
2009	111,34	113,56	111,49	118,8	127,06	130,84	132,6	145,87	140,08	141,16	157,55	156,53
2008	144,19	158,58	154,83	144,65	147,13	155,59	164,67	165,86	149,63	115,49	107,79	104,22
2007	125,42	123,21	117,34	111,42	115,01	121,93	129,25	129,91	133,26	142,94	138,82	142,7
2006	123,71	117,58	112,64	116,13	96,58	99	101,27	112,21	112,39	111,24	115,72	130,12
2005	97,43	109,8	113,78	124,18	117,08	117,46	111,52	113,85	120,98	105,35	108,54	112,51
2004	69,13	67,56	68,58	67	69,28	73,37	62,75	61,4	65,58	65,85	75,48	85,07
2003	53,06	51,75	48,4	55,63	53,65	53,14	56,11	56,6	59,59	57,07	55,86	59,28
2002	43,22	43,08	47,59	48,52	39,34	35,21	35,63	35,78	36,06	39,03	46,97	46,71
2001	61,91	59,11	57,68	50,45	54,74	49,09	45	44,72	40,53	35,04	35,74	39,03
2000	119,71	108,62	105,41	98,69	92,5	83,07	86,62	83,69	79,65	68,87	63,36	61,49
1999	113,35	96,59	99,2	97,35	107,94	100,19	87,82	83,47	75,36	94,8	107,52	133,35
1998	210,73	207,29	177,93	159,14	132,58	118,83	105,89	112,96	99,24	95,8	103,74	112,08
1997	148,11	180,06	187,05	200,49	207,55	195,49	166,43	179,84	188,01	174,75	192,35	191,22
1996	136,68	152,71	146,64	135,25	142,68	121,95	100,62	105,52	110,51	109,18	109,13	113,2
1995	166,07	162,35	170,88	160,77	160,07	147,13	138,32	143,61	131,05	126,92	127,04	116,55
1994	73,52	77,93	81,85	95,09	119,17	135,16	208,71	189,82	210,26	190,21	169,07	153,06
1993	69,07	64,23	67	53,64	57,85	58,05	64,61	73,44	72,62	74,05	73,56	74,42
1992	54,23	51,54	54,44	49,26	47,47	43,34	53,69	40,48	45,02	58,76	60,84	77,99
1991	61,51	71,83	76,02	74,13	66,26	62,91	58,69	54,17	61,77	57,89	54,5	46,33
1990	83,71	98,38	123,52	95,41	90,81	80,65	69,22	85,16	84,85	69,16	57,21	62,47
1989	120,88	93,55	102,98	126,04	146,41	118,41	78,59	76,94	61,05	54,5	66,49	63,64
1988	51,54	61,47	63,94	62,57	57,24	70,23	68,22	58,62	69,55	67,96	73,33	100,92
1987	121,13	101,28	86,61	81,1	84,56	61,42	50,17	47,05	46,01	51,48	49,69	45,2
1986	309,97	269,09	250,3	214,26	213,39	197,59	205,55	216,12	219,27	194,79	193,02	146,8
1985	115,81	118,31	120,52	114,37	101,1	89,24	81,04	77,86	74,65	106,83	143,73	245,59
1984	65,29	64,75	66,91	61,95	62,73	74,16	80,22	73,86	77,59	78,91	80,62	85,99
1983	93,79	108,39	74,45	68,22	62,15	56,13	51,82	52,24	53,58	54,94	52,16	58,13
1982	82,07	83,57	85,57	88,19	87,11	96,14	86,87	86,09	83,87	84,66	89,33	99,92
1981	94,06	93,21	86,67	81,22	76,63	69,93	69,67	74,63	72,29	70,18	73,63	80,41
