DATA MEDICAO;HORA MEDICAO;PRECIPITACAO TOTAL, HORARIO(MM);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(MB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(CODIGO);VENTO, VELOCIDADE HORARIA(M/S)
2019-01-01;0;17,6;955,2;21,6;20,8;95,0;32,0;1,5
2019-01-01;1200;2,6;958,1;23,0;21,4;92,0;0,0;0,0
2019-01-01;1800;0,0;955,0;31,0;22,6;59,0;9,0;0,5
2019-01-02;0;16,6;956,5;22,4;21,2;93,0;0,0;0,0
2019-01-02;1200;0,0;957,8;24,8;21,6;84,0;0,0;0,0
2019-01-02;1800;0,0;956,4;33,0;20,2;46,0;0,0;0,0
2019-01-03;0;0,0;955,9;27,4;21,0;66,0;14,0;1,0
2019-01-03;1200;0,0;957,1;27,4;20,4;63,0;14,0;0,5
2019-01-03;1800;0,0;954,0;33,6;18,4;39,0;18,0;1,0
2019-01-04;0;0,0;953,9;28,2;21,0;63,0;0,0;0,0
2019-01-04;1200;0,0;956,1;25,6;20,4;70,0;14,0;1,0
2019-01-04;1800;0,0;954,7;31,2;20,4;52,0;18,0;1,5
2019-01-05;0;0,0;954,8;27,0;20,6;68,0;18,0;1,0
2019-01-05;1200;0,0;956,6;26,0;21,8;78,0;32,0;0,5
2019-01-05;1800;0,0;953,6;30,4;21,4;58,0;14,0;0,5
2019-01-06;0;0,0;955,3;24,6;19,2;70,0;0,0;0,0
2019-01-06;1200;1,7;956,8;24,8;18,4;67,0;0,0;0,0
2019-01-06;1800;0,0;955,5;32,4;18,6;44,0;18,0;1,0
2019-01-07;0;0,0;954,8;27,6;20,8;67,0;14,0;1,0
2019-01-07;1200;0,0;957,2;27,4;21,4;69,0;0,0;0,0
2019-01-07;1800;0,0;954,5;33,6;18,0;38,0;9,0;1,0
2019-01-08;0;0,0;954,8;28,2;19,0;57,0;0,0;0,0
2019-01-08;1200;0,0;956,9;28,0;19,4;59,0;9,0;1,0
2019-01-08;1800;0,0;955,9;30,4;19,4;51,0;9,0;1,5
2019-01-09;0;0,0;956,2;26,4;20,4;69,0;9,0;1,0
2019-01-09;1200;0,0;956,8;25,8;18,6;64,0;9,0;0,5
2019-01-09;1800;0,0;954,2;31,6;17,0;41,0;5,0;1,0
2019-01-10;0;0,0;954,4;26,8;18,4;59,0;0,0;0,0
2019-01-10;1200;0,0;955,9;26,8;19,2;62,0;5,0;0,5
2019-01-10;1800;0,3;954,9;28,8;21,8;65,0;9,0;0,5
2019-01-11;0;0,0;955,3;22,6;20,0;85,0;9,0;1,0
2019-01-11;1200;0,0;957,7;26,2;21,2;71,0;23,0;0,5
2019-01-11;1800;0,0;955,5;31,4;21,8;56,0;27,0;1,0
2019-01-12;0;0,0;955,4;27,2;21,0;69,0;0,0;0,0
2019-01-12;1200;0,0;956,6;26,8;19,8;66,0;9,0;1,0
2019-01-12;1800;0,0;955,1;33,2;19,6;45,0;9,0;0,5
2019-01-13;0;0,0;954,5;27,8;21,0;67,0;0,0;0,0
2019-01-13;1200;0,0;957,0;26,2;19,6;65,0;9,0;0,5
2019-01-13;1800;0,0;954,7;31,6;19,8;50,0;27,0;1,0
2019-01-14;0;0,0;955,0;27,2;20,0;65,0;0,0;0,0
2019-01-14;1200;0,0;957,1;27,8;17,6;54,0;9,0;1,5
2019-01-14;1800;0,0;955,9;34,0;16,8;36,0;14,0;1,0
2019-01-15;0;0,0;955,4;28,2;20,0;60,0;0,0;0,0
2019-01-15;1200;0,0;958,1;28,0;20,0;60,0;0,0;0,0
2019-01-15;1800;0,0;955,0;34,2;18,2;39,0;0,0;0,0
2019-01-16;0;0,0;955,2;29,0;19,6;56,0;14,0;0,5
2019-01-16;1200;0,0;958,1;29,0;20,6;61,0;0,0;0,0
2019-01-16;1800;0,0;956,3;35,2;19,0;40,0;14,0;0,5
2019-01-17;0;0,0;955,7;29,6;19,8;55,0;14,0;0,5
2019-01-17;1200;0,0;958,4;27,2;21,2;70,0;18,0;0,5
2019-01-17;1800;0,0;956,4;30,2;21,0;56,0;9,0;1,0
2019-01-18;0;0,0;956,6;26,4;21,4;73,0;0,0;0,0
2019-01-18;1200;0,0;956,9;28,0;20,2;61,0;32,0;1,0
2019-01-18;1800;0,0;955,5;33,8;18,6;40,0;9,0;1,5
2019-01-19;0;0,0;954,5;28,2;20,6;62,0;14,0;1,0
2019-01-19;1200;0,0;956,3;28,4;18,8;55,0;0,0;0,0
2019-01-19;1800;0,0;953,6;35,0;17,6;36,0;9,0;0,5
2019-01-20;0;0,0;953,0;29,0;18,6;53,0;0,0;0,0
2019-01-20;1200;0,0;955,7;28,2;19,0;57,0;0,0;0,0
2019-01-20;1800;0,0;954,2;36,0;15,6;30,0;18,0;0,5
2019-01-21;0;0,0;954,2;29,0;17,2;49,0;14,0;1,0
2019-01-21;1200;0,0;956,8;28,4;19,2;58,0;0,0;0,0
2019-01-21;1800;0,0;954,6;36,4;17,0;30,0;18,0;0,5
2019-01-22;0;0,0;954,7;30,2;18,2;48,0;0,0;0,0
2019-01-22;1200;0,0;956,8;29,6;17,4;47,0;0,0;0,0
2019-01-22;1800;0,0;955,4;35,2;17,8;37,0;14,0;1,0
2019-01-23;0;0,0;954,8;29,6;19,6;54,0;14,0;1,0
2019-01-23;1200;0,0;957,3;28,8;17,2;49,0;14,0;0,5
2019-01-23;1800;0,0;954,4;34,2;16,4;36,0;18,0;0,5
2019-01-24;0;0,0;954,2;28,8;18,6;52,0;0,0;0,0
2019-01-24;1200;0,0;956,3;28,4;17,0;49,0;9,0;1,0
2019-01-24;1800;0,0;954,4;35,8;17,0;31,0;9,0;1,5
2019-01-25;0;0,0;953,7;29,0;18,4;52,0;18,0;0,5
2019-01-25;1200;0,0;955,8;29,4;18,2;49,0;14,0;0,5
2019-01-25;1800;0,1;952,7;34,0;18,8;41,0;32,0;0,5
2019-01-26;0;0,0;953,4;27,6;19,6;62,0;0,0;0,0
2019-01-26;1200;4,9;956,2;23,8;21,6;88,0;0,0;0,0
2019-01-26;1800;0,0;955,6;22,6;18,6;77,0;32,0;2,1
2019-01-27;0;3,9;956,3;21,2;19,6;91,0;23,0;2,1
2019-01-27;1200;0,0;958,3;22,0;17,8;77,0;0,0;0,0
