DATA MEDICAO;HORA MEDICAO;PRECIPITACAO TOTAL, HORARIO(MM);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(MB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(CODIGO);VENTO, VELOCIDADE HORARIA(M/S)
2019-01-01;0;8,3;959,5;22,1;21,5;97,0;0,0;0,0
2019-01-01;1200;0,0;962,0;27,4;21,9;70,0;9,0;1,0
2019-01-01;1800;0,0;957,8;32,1;20,8;50,0;5,0;2,0
2019-01-02;0;0,0;960,6;25,1;22,1;82,0;17,0;0,5
2019-01-02;1200;0,0;962,8;27,4;21,2;67,0;9,0;2,8
2019-01-02;1800;0,0;959,4;33,0;17,2;39,0;5,0;3,0
2019-01-03;0;0,0;960,3;23,9;19,5;77,0;27,0;0,8
2019-01-03;1200;0,0;961,3;27,7;19,8;62,0;5,0;2,0
2019-01-03;1800;0,0;957,7;33,4;14,5;30,0;5,0;3,3
2019-01-04;0;0,0;958,6;22,8;17,7;73,0;0,0;0,0
2019-01-04;1200;0,0;961,3;28,1;19,1;57,0;5,0;3,3
2019-01-04;1800;0,0;958,3;31,2;20,5;52,0;9,0;1,0
2019-01-05;0;0,0;958,5;25,1;21,7;80,0;27,0;0,5
2019-01-05;1200;0,0;960,5;26,2;20,3;67,0;18,0;0,8
2019-01-05;1800;0,0;958,1;34,7;14,1;28,0;9,0;1,1
2019-01-06;0;7,0;960,8;21,5;19,2;86,0;36,0;6,0
2019-01-06;1200;1,2;962,2;24,3;20,3;78,0;9,0;1,6
2019-01-06;1800;0,0;957,7;32,2;18,0;43,0;14,0;0,5
2019-01-07;0;0,0;959,3;25,5;19,7;70,0;36,0;2,6
2019-01-07;1200;0,0;962,2;26,7;19,9;65,0;5,0;3,3
2019-01-07;1800;0,0;958,1;33,3;19,5;44,0;9,0;2,3
2019-01-08;0;0,0;959,5;23,9;20,7;83,0;0,0;0,0
2019-01-08;1200;0,0;962,7;25,6;19,7;68,0;5,0;3,8
2019-01-08;1800;0,0;959,9;29,8;18,6;51,0;36,0;3,3
2019-01-09;0;0,0;959,8;21,5;19,3;87,0;0,0;0,0
2019-01-09;1200;0,0;961,5;26,3;18,5;60,0;9,0;3,0
2019-01-09;1800;0,0;957,2;32,3;16,7;38,0;5,0;3,3
2019-01-10;0;0,0;958,5;23,7;19,5;77,0;0,0;0,0
2019-01-10;1200;0,0;961,0;27,5;18,3;56,0;5,0;4,1
2019-01-10;1800;0,0;957,2;33,1;17,4;39,0;9,0;2,8
2019-01-11;0;0,0;959,0;26,3;20,5;69,0;0,0;0,0
2019-01-11;1200;0,0;962,3;28,4;20,4;61,0;9,0;3,5
2019-01-11;1800;0,0;957,9;34,9;19,4;40,0;9,0;1,6
2019-01-12;0;3,6;959,1;23,3;21,5;88,0;27,0;0,7
2019-01-12;1200;0,0;961,3;27,7;21,1;67,0;9,0;3,0
2019-01-12;1800;0,0;957,2;34,1;19,4;41,0;14,0;1,0
2019-01-13;0;0,0;958,7;26,4;21,2;72,0;36,0;1,0
2019-01-13;1200;0,0;961,3;27,0;19,9;63,0;9,0;3,5
2019-01-13;1800;0,0;958,2;32,7;18,2;41,0;9,0;1,6
2019-01-14;0;0,0;958,8;25,3;20,9;75,0;0,0;0,0
2019-01-14;1200;0,0;955,5;27,7;19,1;58,0;5,0;3,3
2019-01-14;1800;0,0;958,2;34,1;16,5;34,0;9,0;3,0
2019-01-15;0;0,0;958,7;25,3;20,0;71,0;0,0;0,0
2019-01-15;1200;0,0;962,3;28,9;21,0;60,0;9,0;3,6
2019-01-15;1800;0,0;958,3;35,1;19,6;39,0;9,0;1,8
2019-01-16;0;0,0;959,3;26,5;19,2;63,0;36,0;1,1
2019-01-16;1200;0,0;963,5;28,7;20,0;58,0;5,0;2,0
2019-01-16;1800;0,0;958,7;36,3;18,9;36,0;9,0;2,0
2019-01-17;0;0,0;958,9;27,4;18,9;58,0;36,0;1,0
2019-01-17;1200;0,0;962,5;28,6;19,2;57,0;9,0;2,6
2019-01-17;1800;0,0;959,1;32,6;18,8;42,0;18,0;2,1
2019-01-18;0;0,0;958,3;27,2;21,7;73,0;0,0;0,0
2019-01-18;1200;0,0;961,7;28,9;18,1;52,0;9,0;3,3
2019-01-18;1800;0,0;957,5;35,3;16,2;30,0;18,0;2,3
2019-01-19;0;0,0;957,4;24,8;18,0;65,0;5,0;0,7
2019-01-19;1200;0,0;960,6;29,5;17,4;47,0;5,0;4,6
2019-01-19;1800;0,0;956,8;36,6;14,6;25,0;9,0;1,6
2019-01-20;0;0,0;957,5;25,5;17,3;59,0;0,0;0,0
2019-01-20;1200;0,0;960,7;29,4;17,9;49,0;9,0;1,6
2019-01-20;1800;0,0;957,5;35,8;15,0;28,0;18,0;0,8
2019-01-21;0;0,0;958,8;26,8;18,1;57,0;0,0;0,0
2019-01-21;1200;0,0;961,2;29,8;17,6;48,0;5,0;3,6
2019-01-21;1800;0,0;957,5;36,7;15,8;28,0;18,0;0,8
2019-01-22;0;0,0;959,2;25,6;17,3;59,0;0,0;0,0
2019-01-22;1200;0,0;961,5;29,6;17,1;46,0;5,0;3,8
2019-01-22;1800;0,0;957,0;36,5;13,4;24,0;14,0;2,3
2019-01-23;0;0,0;959,3;25,3;17,8;62,0;27,0;0,3
2019-01-23;1200;0,0;961,5;29,5;17,8;48,0;9,0;4,1
2019-01-23;1800;0,0;958,7;36,0;14,6;27,0;14,0;1,8
2019-01-24;0;0,0;957,4;25,7;17,2;57,0;0,0;0,0
2019-01-24;1200;0,0;960,8;29,4;18,5;50,0;9,0;4,1
2019-01-24;1800;0,0;957,7;36,4;16,0;28,0;9,0;2,6
2019-01-25;0;0,0;957,3;26,7;18,1;59,0;5,0;0,5
2019-01-25;1200;0,0;960,8;29,1;18,9;54,0;9,0;3,6
2019-01-25;1800;0,0;956,6;35,1;17,0;33,0;9,0;3,3
2019-01-26;0;0,0;957,4;28,2;18,6;55,0;36,0;0,8
2019-01-26;1200;0,0;961,1;29,5;18,7;51,0;9,0;4,6
2019-01-26;1800;0,0;956,4;34,3;16,3;32,0;5,0;3,0
2019-01-27;0;36,2;961,1;22,0;21,0;95,0;14,0;1,6
2019-01-27;1200;0,0;962,0;26,0;21,0;73,0;9,0;3,3
2019-01-27;1800;0,0;958,4;33,8;13,3;28,0;9,0;3,6
2019-01-28;0;0,0;959,7;24,7;21,1;79,0;36,0;1,1
2019-01-28;1200;0,0;962,7;28,6;18,4;54,0;9,0;4,6
2019-01-28;1800;0,0;958,1;34,7;17,5;35,0;5,0;5,0
2019-01-29;0;0,0;960,7;26,8;18,9;60,0;36,0;1,1
2019-01-29;1200;0,0;962,9;28,0;19,5;59,0;9,0;3,3
2019-01-29;1800;0,0;962,3;34,4;16,7;33,0;9,0;1,1
2019-01-30;0;0,0;959,0;26,3;20,7;69,0;9,0;0,7
2019-01-30;1200;0,0;961,8;28,1;18,3;53,0;5,0;5,1
2019-01-30;1800;0,0;957,7;34,8;15,7;31,0;9,0;2,6
2019-01-31;0;0,0;958,7;24,6;18,8;69,0;18,0;0,8
2019-01-31;1200;0,0;961,3;28,3;18,2;54,0;9,0;3,3
2019-01-31;1800;0,0;956,7;35,9;12,9;24,0;9,0;3,0
2019-02-01;0;0,0;957,3;24,4;16,4;60,0;0,0;0,0
2019-02-01;1200;0,0;960,6;29,7;17,9;49,0;5,0;3,5
