DATA MEDICAO;HORA MEDICAO;PRECIPITACAO TOTAL, HORARIO(MM);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(MB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(CODIGO);VENTO, VELOCIDADE HORARIA(M/S)
2019-01-01;0;0,0;941,4;23,6;19,5;77,0;0,0;0,0
2019-01-01;1200;0,0;944,8;24,8;19,0;70,0;14,0;1,0
2019-01-01;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-02;0;0,0;943,9;25,2;19,3;68,0;9,0;1,5
2019-01-02;1200;0,0;945,5;25,4;18,8;66,0;5,0;1,0
2019-01-02;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-03;0;0,0;943,6;24,8;18,7;68,0;0,0;0,0
2019-01-03;1200;0,0;944,5;24,2;18,8;71,0;14,0;1,0
2019-01-03;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-04;0;0,0;942,0;24,8;18,5;67,0;5,0;1,0
2019-01-04;1200;0,0;944,0;24,8;18,0;66,0;9,0;1,0
2019-01-04;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-05;0;0,0;941,2;24,4;18,1;67,0;14,0;1,0
2019-01-05;1200;0,0;943,8;23,6;18,9;74,0;36,0;1,0
2019-01-05;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-06;0;0,0;943,3;25,6;19,0;65,0;0,0;0,0
2019-01-06;1200;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-06;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-07;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-07;1200;0,0;944,7;25,4;17,8;62,0;5,0;1,0
2019-01-07;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-08;0;0,0;943,1;24,0;19,3;76,0;14,0;1,0
2019-01-08;1200;0,0;944,9;24,2;17,9;66,0;5,0;1,0
2019-01-08;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-09;0;0,0;942,5;24,0;18,0;69,0;14,0;0,5
2019-01-09;1200;0,0;945,1;25,2;17,7;61,0;14,0;1,0
2019-01-09;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-10;0;0,0;941,6;23,4;18,7;74,0;9,0;1,0
2019-01-10;1200;0,0;943,7;23,8;18,4;71,0;14,0;1,0
2019-01-10;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-11;0;0,0;942,6;24,0;18,9;75,0;9,0;1,0
2019-01-11;1200;0,0;944,2;25,0;19,9;69,0;14,0;1,0
2019-01-11;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-12;0;0,0;942,2;24,2;18,8;77,0;14,0;1,0
2019-01-12;1200;0,0;944,1;26,4;18,0;58,0;9,0;1,0
2019-01-12;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-13;0;0,0;942,2;24,2;18,8;72,0;0,0;0,0
2019-01-13;1200;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-13;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-14;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-14;1200;0,0;944,9;24,2;19,7;75,0;14,0;1,5
2019-01-14;1800;0,0;938,8;29,6;17,1;46,0;9,0;1,0
2019-01-15;0;0,0;942,9;24,4;20,3;76,0;9,0;0,5
