DATA MEDICAO;HORA MEDICAO;PRECIPITACAO TOTAL, HORARIO(MM);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(MB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(CODIGO);VENTO, VELOCIDADE HORARIA(M/S)
2019-01-01;0;16,0;0,0;22,4;21,2;93,0;27,0;1,0
2019-01-01;1200;7,4;0,0;22,8;21,3;91,0;14,0;1,0
2019-01-01;1800;0,0;0,0;26,4;20,0;66,0;5,0;2,0
2019-01-02;0;0,0;0,0;24,4;21,1;82,0;5,0;1,0
2019-01-02;1200;0,0;0,0;26,8;21,8;74,0;14,0;1,0
2019-01-02;1800;0,0;0,0;32,4;20,3;50,0;14,0;3,0
2019-01-03;0;0,0;0,0;27,4;19,5;59,0;9,0;2,0
2019-01-03;1200;0,0;0,0;26,8;21,1;70,0;18,0;1,0
2019-01-03;1800;0,0;0,0;32,8;19,3;43,0;9,0;2,0
2019-01-04;0;0,0;0,0;28,0;21,1;64,0;14,0;1,0
2019-01-04;1200;0,0;0,0;27,0;19,6;63,0;32,0;2,0
2019-01-04;1800;0,0;0,0;31,0;20,3;51,0;14,0;2,0
2019-01-05;0;0,0;0,0;25,8;21,2;76,0;18,0;4,0
2019-01-05;1200;0,0;0,0;25,4;21,5;79,0;36,0;1,0
2019-01-05;1800;0,0;0,0;25,8;19,7;64,0;5,0;6,0
2019-01-06;0;5,4;0,0;21,4;20,2;92,0;5,0;2,0
2019-01-06;1200;0,0;0,0;25,0;18,9;69,0;36,0;2,0
2019-01-06;1800;0,0;0,0;31,8;18,7;44,0;9,0;2,0
2019-01-07;0;0,0;0,0;27,6;19,4;61,0;9,0;1,0
2019-01-07;1200;0,0;0,0;26,8;19,9;66,0;36,0;1,0
2019-01-07;1800;0,0;0,0;32,8;19,6;45,0;5,0;2,0
2019-01-08;0;0,0;0,0;28,4;19,1;57,0;14,0;2,0
2019-01-08;1200;0,0;0,0;28,4;20,1;60,0;14,0;1,0
2019-01-08;1800;0,0;0,0;31,4;21,8;56,0;5,0;3,0
2019-01-09;0;0,0;0,0;27,2;20,5;66,0;5,0;2,0
2019-01-09;1200;0,0;0,0;26,4;18,0;58,0;5,0;0,3
2019-01-09;1800;0,0;0,0;31,0;16,6;40,0;9,0;0,4
2019-01-10;0;0,0;0,0;26,2;18,3;60,0;9,0;0,1
2019-01-10;1200;0,0;0,0;26,8;18,9;60,0;9,0;2,0
2019-01-10;1800;2,4;0,0;27,6;20,9;66,0;23,0;3,0
2019-01-11;0;0,6;0,0;23,6;20,5;82,0;32,0;2,0
2019-01-11;1200;0,0;0,0;23,8;19,9;78,0;14,0;2,0
2019-01-11;1800;0,0;0,0;28,8;20,5;60,0;36,0;2,0
2019-01-12;0;0,0;0,0;26,8;22,6;77,0;14,0;1,0
2019-01-12;1200;0,0;0,0;27,0;20,6;68,0;18,0;3,0
2019-01-12;1800;1,0;0,0;27,0;21,3;71,0;27,0;1,0
2019-01-13;0;0,0;0,0;24,6;20,7;78,0;32,0;2,0
2019-01-13;1200;0,0;0,0;25,0;21,5;81,0;18,0;1,0
2019-01-13;1800;0,0;0,0;32,2;19,1;46,0;9,0;2,0
2019-01-14;0;0,0;0,0;28,0;21,5;66,0;9,0;1,0
2019-01-14;1200;0,0;0,0;28,0;19,0;56,0;9,0;1,0
2019-01-14;1800;0,0;0,0;32,8;16,2;36,0;5,0;4,0
2019-01-15;0;0,0;0,0;28,2;19,4;58,0;14,0;1,0
2019-01-15;1200;0,0;0,0;28,2;20,7;62,0;0,0;0,0
2019-01-15;1800;0,0;0,0;34,0;18,5;35,0;14,0;2,0
2019-01-16;0;0,0;0,0;29,0;19,9;57,0;14,0;1,0
2019-01-16;1200;0,0;0,0;28,4;20,9;63,0;5,0;1,0
2019-01-16;1800;0,0;0,0;35,2;19,9;41,0;14,0;2,0
2019-01-17;0;0,0;0,0;30,0;21,7;61,0;9,0;1,0
2019-01-17;1200;0,0;0,0;25,0;19,8;74,0;18,0;4,0
2019-01-17;1800;0,0;0,0;30,6;21,1;56,0;9,0;2,0
2019-01-18;0;0,0;0,0;27,6;21,6;70,0;5,0;1,0
2019-01-18;1200;0,0;0,0;27,0;20,6;68,0;5,0;1,0
2019-01-18;1800;0,0;0,0;33,4;19,1;41,0;14,0;4,0
2019-01-19;0;0,0;0,0;26,8;19,9;66,0;5,0;1,0
2019-01-19;1200;0,0;0,0;28,8;20,8;61,0;14,0;1,0
2019-01-19;1800;0,0;0,0;34,4;18,4;38,0;5,0;2,0
2019-01-20;0;0,0;0,0;29,4;21,1;59,0;14,0;1,0
2019-01-20;1200;0,0;0,0;27,0;20,3;67,0;5,0;1,0
2019-01-20;1800;0,0;0,0;34,8;20,4;42,0;14,0;1,0
2019-01-21;0;0,0;0,0;28,8;20,8;61,0;14,0;1,0
2019-01-21;1200;0,0;0,0;27,2;20,2;65,0;5,0;1,0
2019-01-21;1800;0,0;0,0;35,6;17,3;32,0;5,0;3,0
2019-01-22;0;0,0;0,0;30,6;18,0;46,0;14,0;4,0
2019-01-22;1200;0,0;0,0;28,2;20,7;62,0;23,0;2,0
2019-01-22;1800;0,0;0,0;35,2;20,3;42,0;14,0;4,0
2019-01-23;0;0,0;0,0;30,0;21,1;59,0;14,0;1,0
2019-01-23;1200;0,0;0,0;29,6;18,4;50,0;14,0;1,0
2019-01-23;1800;0,0;0,0;34,8;18,8;38,0;9,0;2,0
2019-01-24;0;0,0;0,0;29,6;18,7;51,0;14,0;2,0
2019-01-24;1200;0,0;0,0;28,8;18,3;51,0;18,0;2,0
2019-01-24;1800;0,0;0,0;34,6;16,4;33,0;9,0;2,0
2019-01-25;0;0,0;0,0;30,0;18,1;49,0;9,0;2,0
2019-01-25;1200;0,0;0,0;28,8;20,5;60,0;23,0;1,0
2019-01-25;1800;0,0;0,0;35,6;18,2;35,0;5,0;4,0
2019-01-26;0;4,8;0,0;23,0;20,3;85,0;18,0;2,0
2019-01-26;1200;1,2;0,0;24,2;21,3;83,0;9,0;1,0
2019-01-26;1800;0,0;0,0;27,8;18,8;57,0;9,0;3,0
2019-01-27;0;14,8;0,0;20,2;19,5;95,0;14,0;1,0
2019-01-27;1200;1,0;0,0;20,8;19,6;93,0;23,0;1,0
2019-01-27;1800;0,0;0,0;28,8;21,6;64,0;14,0;1,0
2019-01-28;0;0,0;0,0;25,2;20,9;75,0;14,0;1,0
2019-01-28;1200;0,0;0,0;26,8;19,2;62,0;14,0;2,0
2019-01-28;1800;0,0;0,0;32,6;15,6;34,0;5,0;4,0
2019-01-29;0;0,0;0,0;28,0;19,0;56,0;14,0;1,0
2019-01-29;1200;0,0;0,0;27,8;18,4;60,0;18,0;2,0
2019-01-29;1800;0,0;0,0;33,6;19,3;41,0;14,0;2,0
2019-01-30;0;0,0;0,0;26,6;20,2;69,0;32,0;1,0
2019-01-30;1200;0,0;0,0;27,8;19,1;59,0;9,0;3,0
2019-01-30;1800;0,0;0,0;33,8;17,5;37,0;9,0;2,0
2019-01-31;0;0,0;0,0;28,4;15,7;46,0;14,0;4,0
2019-01-31;1200;0,0;0,0;26,4;20,0;66,0;36,0;1,0
2019-01-31;1800;0,0;0,0;34,4;16,3;32,0;18,0;1,0
2019-02-01;0;0,0;0,0;29,2;17,7;49,0;14,0;1,0
2019-02-01;1200;0,0;0,0;27,0;19,9;64,0;5,0;1,0
2019-02-01;1800;0,0;0,0;35,4;16,7;31,0;9,0;2,0
2019-02-02;0;0,0;0,0;30,0;16,8;45,0;14,0;4,0
2019-02-02;1200;0,0;0,0;28,8;18,9;54,0;18,0;2,0
2019-02-02;1800;0,0;0,0;35,6;17,3;33,0;14,0;2,0
2019-02-03;0;0,0;0,0;30,4;17,5;45,0;14,0;4,0
2019-02-03;1200;0,0;0,0;28,0;19,5;59,0;9,0;1,0
2019-02-03;1800;0,0;0,0;36,0;18,1;34,0;18,0;2,0
2019-02-04;0;0,0;0,0;30,8;21,3;57,0;14,0;1,0
2019-02-04;1200;0,0;0,0;27,2;18,2;58,0;18,0;2,0
2019-02-04;1800;0,0;0,0;34,2;18,3;39,0;18,0;1,0
2019-02-05;0;0,0;0,0;26,2;18,3;60,0;36,0;3,0
2019-02-05;1200;0,0;0,0;23,8;19,9;78,0;27,0;1,0
2019-02-05;1800;0,0;0,0;32,0;21,5;52,0;9,0;2,0
2019-02-06;0;5,4;0,0;26,0;21,9;78,0;5,0;1,0
2019-02-06;1200;0,0;0,0;25,6;21,1;75,0;9,0;2,0
2019-02-06;1800;1,7;0,0;24,2;21,5;84,0;5,0;1,0
2019-02-07;0;3,2;0,0;22,8;21,6;92,0;36,0;1,0
2019-02-07;1200;0,0;0,0;25,0;21,7;83,0;32,0;1,0
2019-02-07;1800;0,0;0,0;31,4;20,7;52,0;5,0;3,0
2019-02-08;0;0,0;0,0;24,8;22,1;85,0;9,0;1,0
2019-02-08;1200;0,0;0,0;25,0;21,5;81,0;9,0;1,0
2019-02-08;1800;0,2;0,0;26,6;21,8;76,0;27,0;1,0
2019-02-09;0;0,0;0,0;25,0;22,1;84,0;36,0;1,0
2019-02-09;1200;0,0;0,0;25,6;22,1;79,0;5,0;1,0
2019-02-09;1800;0,6;0,0;27,2;21,5;72,0;5,0;3,0
2019-02-10;0;0,0;0,0;25,4;22,9;85,0;5,0;1,0
2019-02-10;1200;36,0;0,0;23,0;20,0;84,0;5,0;2,0
2019-02-10;1800;0,0;0,0;29,8;20,9;58,0;5,0;1,0
2019-02-11;0;0,0;0,0;25,0;19,8;74,0;5,0;1,0
2019-02-11;1200;0,0;0,0;24,8;21,1;80,0;0,0;0,0
2019-02-11;1800;0,0;0,0;31,8;20,1;48,0;9,0;1,0
2019-02-12;0;0,0;0,0;28,0;21,8;68,0;14,0;1,0
2019-02-12;1200;0,0;0,0;27,8;21,8;71,0;9,0;1,0
2019-02-12;1800;0,0;0,0;33,6;19,3;41,0;5,0;1,0
2019-02-13;0;0,0;0,0;28,6;20,1;60,0;9,0;1,0
2019-02-13;1200;0,0;0,0;27,4;22,1;72,0;23,0;1,0
2019-02-13;1800;0,0;0,0;34,8;17,9;36,0;32,0;1,0
2019-02-14;0;0,0;0,0;29,0;20,7;61,0;18,0;1,0
2019-02-14;1200;0,0;0,0;26,8;21,3;71,0;14,0;1,0
2019-02-14;1800;0,0;0,0;34,6;19,8;40,0;5,0;1,0
2019-02-15;0;0,0;0,0;28,8;20,5;60,0;9,0;1,0
2019-02-15;1200;0,0;0,0;27,2;20,5;66,0;18,0;2,0
2019-02-15;1800;0,0;0,0;33,4;21,2;47,0;18,0;2,0
2019-02-16;0;0,0;0,0;27,2;21,2;70,0;36,0;4,0
2019-02-16;1200;0,0;0,0;27,8;21,1;68,0;36,0;2,0
2019-02-16;1800;15,2;0,0;27,0;21,5;72,0;32,0;1,0
2019-02-17;0;5,8;0,0;22,0;20,5;91,0;27,0;1,0
2019-02-17;1200;0,8;0,0;25,8;22,1;79,0;5,0;1,0
2019-02-17;1800;0,0;0,0;31,0;21,5;56,0;32,0;4,0
2019-02-18;0;1,6;0,0;23,4;21,3;88,0;5,0;1,0
2019-02-18;1200;0,0;0,0;24,4;21,1;82,0;36,0;1,0
2019-02-18;1800;4,4;0,0;23,2;21,3;89,0;36,0;1,0
2019-02-19;0;1,0;0,0;23,4;22,2;93,0;9,0;1,0
2019-02-19;1200;0,0;0,0;23,6;21,5;87,0;5,0;1,0
2019-02-19;1800;5,4;0,0;27,2;21,5;72,0;14,0;1,0
2019-02-20;0;4,4;0,0;24,4;22,7;90,0;14,0;1,0
2019-02-20;1200;0,0;0,0;25,4;22,3;82,0;9,0;1,0
2019-02-20;1800;0,0;0,0;33,0;21,8;52,0;9,0;2,0
2019-02-21;0;0,0;0,0;26,8;21,6;73,0;32,0;1,0
2019-02-21;1200;1,8;0,0;24,4;22,3;89,0;14,0;3,0
2019-02-21;1800;0,0;0,0;30,4;23,1;64,0;18,0;2,0
2019-02-22;0;6,4;0,0;21,4;19,9;90,0;14,0;2,0
