DATA MEDICAO;HORA MEDICAO;PRECIPITACAO TOTAL, HORARIO(MM);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(MB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(CODIGO);VENTO, VELOCIDADE HORARIA(M/S)
2019-01-01;0;0,0;920,3;23,2;21,1;88,0;0,0;0,0
2019-01-01;1200;0,0;944,3;25,9;19,9;69,0;0,0;0,0
2019-01-01;1800;0,0;940,4;31,1;19,7;51,0;0,0;0,0
2019-01-02;0;0,0;943,6;25,9;20,6;72,0;0,0;0,0
2019-01-02;1200;0,0;945,3;27,0;19,6;63,0;0,0;0,0
2019-01-02;1800;0,0;941,2;32,4;18,6;44,0;0,0;0,0
2019-01-03;0;0,0;942,7;26,8;19,9;65,0;0,0;0,0
2019-01-03;1200;0,0;943,8;27,7;19,4;60,0;0,0;0,0
2019-01-03;1800;0,0;939,8;32,9;13,9;32,0;0,0;0,0
2019-01-04;0;0,0;941,1;27,1;19,1;62,0;0,0;0,0
2019-01-04;1200;0,0;943,5;25,9;17,7;59,0;0,0;0,0
2019-01-04;1800;0,0;940,1;30,7;18,0;47,0;0,0;0,0
2019-01-05;0;0,0;940,9;26,1;20,3;71,0;0,0;0,0
2019-01-05;1200;0,0;942,7;28,1;18,1;54,0;0,0;0,0
2019-01-05;1800;0,0;938,6;33,4;13,5;29,0;0,0;0,0
2019-01-06;0;0,0;941,6;26,7;19,2;64,0;0,0;0,0
2019-01-06;1200;0,0;942,0;25,2;17,9;63,0;0,0;0,0
2019-01-06;1800;0,0;939,7;32,0;14,6;34,0;0,0;0,0
2019-01-07;0;0,0;941,6;24,6;17,6;63,0;0,0;0,0
2019-01-07;1200;0,0;944,4;25,3;17,9;63,0;0,0;0,0
2019-01-07;1800;0,0;941,1;30,6;18,7;49,0;0,0;0,0
2019-01-08;0;0,0;942,4;25,4;18,6;65,0;0,0;0,0
2019-01-08;1200;0,0;943,4;25,4;19,3;68,0;0,0;0,0
2019-01-08;1800;0,0;941,3;31,5;15,8;39,0;0,0;0,0
2019-01-09;0;0,0;942,2;24,4;17,9;66,0;0,0;0,0
2019-01-09;1200;0,0;943,6;25,5;16,3;56,0;0,0;0,0
2019-01-09;1800;0,0;940,1;29,2;16,7;47,0;0,0;0,0
2019-01-10;0;0,0;941,0;25,8;17,7;60,0;0,0;0,0
2019-01-10;1200;0,0;943,9;24,6;18,8;69,0;0,0;0,0
2019-01-10;1800;0,0;940,4;29,8;17,3;47,0;0,0;0,0
2019-01-11;0;0,0;941,9;25,4;18,6;65,0;0,0;0,0
2019-01-11;1200;0,0;944,4;26,4;20,3;67,0;0,0;0,0
2019-01-11;1800;0,0;940,5;32,1;17,1;40,0;0,0;0,0
2019-01-12;0;0,0;941,6;27,0;20,1;65,0;0,0;0,0
2019-01-12;1200;0,0;943,6;27,5;19,7;61,0;0,0;0,0
2019-01-12;1800;0,0;940,0;33,1;17,6;39,0;0,0;0,0
2019-01-13;0;0,0;942,0;26,4;19,0;63,0;0,0;0,0
2019-01-13;1200;0,0;943,8;25,8;19,2;67,0;0,0;0,0
2019-01-13;1800;0,0;940,1;31,1;17,3;42,0;0,0;0,0
2019-01-14;0;0,0;941,7;25,4;17,6;61,0;0,0;0,0
2019-01-14;1200;0,0;944,4;26,1;18,9;66,0;0,0;0,0
2019-01-14;1800;0,0;940,8;31,8;15,7;37,0;0,0;0,0
2019-01-15;0;0,0;941,2;25,6;18,3;62,0;0,0;0,0
