DATA MEDICAO;HORA MEDICAO;PRECIPITACAO TOTAL, HORARIO(MM);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(MB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(CODIGO);VENTO, VELOCIDADE HORARIA(M/S)
2019-01-01;0;0,1;979,1;21,3;20,6;94,0;0,0;0,0
2019-01-01;1200;0,0;982,0;23,6;20,5;82,0;0,0;0,0
2019-01-01;1800;0,0;979,9;33,0;18,4;42,0;0,0;0,0
2019-01-02;0;0,0;980,3;25,2;21,3;78,0;0,0;0,0
2019-01-02;1200;0,0;982,4;28,2;21,2;65,0;0,0;0,0
2019-01-02;1800;0,0;978,8;34,4;18,6;38,0;0,0;0,0
2019-01-03;0;0,0;979,5;26,4;20,7;70,0;0,0;0,0
2019-01-03;1200;0,0;981,5;26,0;18,9;73,0;5,0;1,0
2019-01-03;1800;0,0;976,7;36,0;17,7;34,0;5,0;1,0
2019-01-04;0;0,0;977,9;26,0;20,3;71,0;0,0;0,0
2019-01-04;1200;0,0;980,4;27,0;20,6;68,0;14,0;1,0
2019-01-04;1800;0,0;976,7;35,2;19,9;43,0;14,0;1,0
2019-01-05;0;0,0;977,5;26,2;18,6;63,0;0,0;0,0
2019-01-05;1200;0,0;981,3;28,8;20,0;58,0;5,0;1,0
2019-01-05;1800;0,0;976,0;36,5;13,4;24,0;0,0;0,0
2019-01-06;0;0,0;978,5;27,2;18,5;59,0;0,0;0,0
2019-01-06;1200;0,0;980,4;28,3;21,4;66,0;14,0;1,0
2019-01-06;1800;0,0;976,2;36,6;9,9;35,0;5,0;1,0
2019-01-07;0;15,8;980,5;21,4;20,4;94,0;0,0;0,0
2019-01-07;1200;0,0;982,4;23,2;20,5;85,0;0,0;0,0
2019-01-07;1800;0,0;978,8;33,4;21,2;48,0;23,0;1,0
2019-01-08;0;0,0;979,0;25,8;19,9;70,0;0,0;0,0
2019-01-08;1200;0,0;982,1;27,7;20,9;67,0;5,0;1,0
2019-01-08;1800;0,0;978,8;33,7;18,7;40,0;5,0;1,0
2019-01-09;0;0,0;978,7;25,3;19,5;69,0;0,0;0,0
2019-01-09;1200;0,0;980,9;27,4;19,7;61,0;14,0;1,0
2019-01-09;1800;0,0;977,3;31,8;18,7;45,0;14,0;1,0
2019-01-10;0;0,0;979,3;25,0;20,9;78,0;0,0;0,0
2019-01-10;1200;1,0;981,4;27,6;18,9;59,0;5,0;1,0
2019-01-10;1800;0,0;977,9;32,2;18,0;43,0;5,0;1,0
2019-01-11;0;0,0;978,5;27,0;20,3;67,0;0,0;0,0
2019-01-11;1200;0,0;981,3;28,8;21,0;62,0;5,0;1,0
2019-01-11;1800;0,0;977,4;34,6;20,2;41,0;5,0;1,0
2019-01-12;0;0,0;977,0;27,6;19,7;62,0;0,0;0,0
2019-01-12;1200;0,0;980,9;26,8;19,9;66,0;5,0;1,0
2019-01-12;1800;0,0;977,7;36,4;19,4;33,0;5,0;1,0
2019-01-13;0;0,0;978,4;26,8;19,4;63,0;0,0;0,0
2019-01-13;1200;0,0;981,0;28,6;19,0;57,0;0,0;0,0
2019-01-13;1800;0,0;977,7;33,5;18,5;40,0;5,0;1,0
