DATA MEDICAO;HORA MEDICAO;PRECIPITACAO TOTAL, HORARIO(MM);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(MB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(CODIGO);VENTO, VELOCIDADE HORARIA(M/S)
2019-01-01;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-01;1200;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-01;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-02;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-02;1200;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-02;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-03;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-03;1200;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-03;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-04;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-04;1200;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-04;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-05;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-05;1200;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-05;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-06;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-06;1200;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-06;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-07;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-07;1200;0,0;916,0;20,8;18,6;87,0;14,0;3,0
2019-01-07;1800;0,0;913,9;26,4;19,0;64,0;14,0;3,0
2019-01-08;0;0,0;914,8;20,3;18,1;87,0;14,0;1,0
2019-01-08;1200;0,0;916,3;22,0;17,2;74,0;14,0;2,0
2019-01-08;1800;0,0;914,1;26,1;15,8;53,0;9,0;2,0
2019-01-09;0;0,0;914,7;19,9;17,1;83,0;14,0;1,0
2019-01-09;1200;0,0;914,8;21,9;14,8;63,0;14,0;4,0
2019-01-09;1800;0,0;912,8;25,1;16,0;56,0;14,0;1,0
2019-01-10;0;0,0;913,9;20,7;17,1;79,0;14,0;4,0
2019-01-10;1200;0,0;915,0;21,2;16,2;72,0;14,0;3,0
2019-01-10;1800;0,0;912,8;25,5;16,9;58,0;18,0;1,0
2019-01-11;0;0,0;913,9;21,2;17,8;81,0;14,0;2,0
2019-01-11;1200;0,0;915,9;23,6;18,9;74,0;18,0;1,0
2019-01-11;1800;0,0;912,9;28,1;18,2;55,0;14,0;3,0
2019-01-12;0;0,0;913,9;22,1;19,1;83,0;14,0;2,0
2019-01-12;1200;0,0;915,2;22,5;18,3;77,0;5,0;1,0
2019-01-12;1800;0,0;913,3;26,3;17,9;58,0;14,0;3,0
2019-01-13;0;0,0;913,9;20,8;17,2;79,0;14,0;2,0
2019-01-13;1200;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-13;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-14;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-14;1200;0,0;915,9;23,3;18,0;71,0;9,0;2,0
2019-01-14;1800;0,0;913,4;27,5;17,4;53,0;14,0;2,0
2019-01-15;0;0,0;913,9;23,0;19,0;78,0;14,0;3,0
2019-01-15;1200;0,0;916,6;22,4;18,4;78,0;5,0;1,4
2019-01-15;1800;0,0;913,5;29,7;17,9;48,0;5,0;1,0
2019-01-16;0;0,0;914,1;23,4;18,9;76,0;18,0;2,0
2019-01-16;1200;0,0;916,8;24,1;18,5;70,0;9,0;2,0
2019-01-16;1800;0,0;913,5;30,6;19,3;50,0;14,0;1,0
2019-01-17;0;0,0;914,3;23,0;19,4;80,0;0,0;0,0
2019-01-17;1200;0,0;916,3;25,0;19,4;71,0;5,0;1,0
2019-01-17;1800;0,0;913,0;29,9;17,0;46,0;14,0;2,0
2019-01-18;0;0,0;913,5;23,5;19,4;78,0;14,0;3,0
2019-01-18;1200;0,0;915,3;22,7;18,3;74,0;36,0;2,0
2019-01-18;1800;0,0;912,5;29,3;16,8;47,0;18,0;4,0
2019-01-19;0;0,0;912,6;23,1;17,8;70,0;14,0;2,0
2019-01-19;1200;0,0;914,4;24,7;17,9;65,0;9,0;4,0
2019-01-19;1800;0,0;911,8;30,3;14,4;36,0;9,0;3,0
2019-01-20;0;0,0;912,4;23,2;17,2;67,0;14,0;1,0
2019-01-20;1200;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-20;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-21;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-21;1200;0,0;915,2;26,0;17,6;59,0;36,0;3,0
2019-01-21;1800;0,0;913,9;29,8;15,9;42,0;14,0;3,0
2019-01-22;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-22;1200;0,0;915,4;22,8;17,3;71,0;36,0;3,0
2019-01-22;1800;0,0;913,6;28,0;16,3;47,0;14,0;3,0
2019-01-23;0;0,0;914,5;20,8;16,8;77,0;0,0;0,0
2019-01-23;1200;0,0;915,1;24,4;16,4;60,0;5,0;3,0
2019-01-23;1800;0,0;913,2;28,2;16,8;48,0;14,0;3,0
2019-01-24;0;0,0;913,4;22,8;15,4;62,0;14,0;1,0
2019-01-24;1200;0,0;915,5;23,0;17,9;73,0;14,0;1,0
2019-01-24;1800;0,0;912,4;29,0;16,9;47,0;14,0;3,0
2019-01-25;0;0,0;913,1;22,3;16,1;67,0;14,0;2,0
2019-01-25;1200;0,0;914,2;24,5;17,0;64,0;5,0;2,0
2019-01-25;1800;0,0;912,2;27,9;17,7;55,0;18,0;4,0
2019-01-26;0;0,0;912,8;22,6;17,5;71,0;14,0;2,0
2019-01-26;1200;0,0;915,5;23,7;17,7;68,0;5,0;2,0
2019-01-26;1800;0,0;912,4;28,1;16,7;48,0;14,0;2,0
2019-01-27;0;0,0;912,8;22,8;15,6;63,0;14,0;1,0
2019-01-27;1200;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-27;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-28;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-28;1200;0,0;917,5;23,3;18,0;71,0;14,0;3,0
2019-01-28;1800;0,0;914,9;29,4;16,9;45,0;18,0;3,0
2019-01-29;0;0,0;916,2;22,2;18,4;77,0;14,0;2,0
2019-01-29;1200;0,0;917,5;23,2;18,5;73,0;14,0;3,0
2019-01-29;1800;0,0;914,9;26,3;17,1;56,0;14,0;4,0
2019-01-30;0;0,0;914,9;22,1;17,7;77,0;14,0;1,0
2019-01-30;1200;0,0;915,6;22,8;16,8;69,0;9,0;1,0
2019-01-30;1800;0,0;913,5;29,6;14,6;39,0;14,0;2,0
2019-01-31;0;0,0;914,2;21,8;16,3;69,0;14,0;1,0
2019-01-31;1200;0,0;914,2;25,2;18,9;67,0;9,0;1,0
2019-01-31;1800;0,0;912,1;31,2;13,9;34,0;23,0;1,0
2019-02-01;0;0,0;912,9;23,6;14,9;57,0;14,0;2,0
2019-02-01;1200;0,0;914,5;25,6;17,0;57,0;9,0;2,0
2019-02-01;1800;0,0;912,0;30,7;16,3;42,0;14,0;4,0
