DATA MEDICAO;HORA MEDICAO;PRECIPITACAO TOTAL, HORARIO(MM);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(MB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(CODIGO);VENTO, VELOCIDADE HORARIA(M/S)
2019-01-01;0;13,4;901,4;22,2;19,0;80;0,0;0,0
2019-01-01;1200;9,8;904,1;22,2;19,9;85;0,0;0,0
2019-01-01;1800;1,6;902,1;25,0;21,1;79;0,0;0,0
2019-01-02;0;0,4;906,7;21,8;19,7;87;0,0;0,0
2019-01-02;1200;0,0;904,9;25,0;19,4;71;0,0;0,0
2019-01-02;1800;0,0;903,1;29,0;20,2;59;0,0;0,0
2019-01-03;0;0,0;904,3;21,8;19,2;83;0,0;0,0
2019-01-03;1200;0,0;903,5;23,4;19,6;81;0,0;0,0
2019-01-03;1800;0,0;901,8;28,6;19,0;57;0,0;0,0
2019-01-04;0;0,0;904,3;25,4;18,4;68;0,0;0,0
2019-01-04;1200;11,2;904,6;19,4;17,7;90;0,0;0,0
2019-01-04;1800;1,8;901,7;22,0;18,0;78;0,0;0,0
2019-01-05;0;0,0;904,4;21,4;18,2;87;0,0;0,0
2019-01-05;1200;0,0;903,8;21,6;19,7;88;0,0;0,0
2019-01-05;1800;0,0;900,9;24,0;19,3;77;0,0;0,0
2019-01-06;0;0,2;904,2;20,2;18,9;92;0,0;0,0
2019-01-06;1200;0,0;902,4;22,2;19,6;83;0,0;0,0
2019-01-06;1800;0,0;899,5;28,4;21,7;66;0,0;0,0
2019-01-07;0;0,0;902,7;24,4;19,9;76;0,0;0,0
2019-01-07;1200;0,0;903,5;25,8;20,1;70;0,0;0,0
2019-01-07;1800;0,0;900,3;30,2;22,9;64;0,0;0,0
2019-01-08;0;0,0;903,7;26,0;20,8;73;0,0;0,0
2019-01-08;1200;0,0;903,9;27,0;21,3;70;0,0;0,0
2019-01-08;1800;0,0;901,5;32,4;23,3;59;0,0;0,0
2019-01-09;0;12,4;905,0;22,4;19,9;85;0,0;0,0
2019-01-09;1200;15,4;903,5;23,4;18,7;74;0,0;0,0
2019-01-09;1800;0,0;901,8;28,2;15,8;46;0,0;0,0
2019-01-10;0;0,0;902,5;23,0;16,1;65;0,0;0,0
2019-01-10;1200;0,0;903,5;23,8;16,8;65;0,0;0,0
2019-01-10;1800;0,0;901,8;29,4;17,2;47;0,0;0,0
2019-01-11;0;0,0;903,8;24,0;18,0;69;0,0;0,0
2019-01-11;1200;0,0;905,4;25,2;17,7;62;0,0;0,0
2019-01-11;1800;0,0;902,3;29,4;16,9;46;0,0;0,0
2019-01-12;0;0,0;903,9;21,0;18,8;87;0,0;0,0
2019-01-12;1200;0,0;904,7;24,2;20,1;77;0,0;0,0
2019-01-12;1800;0,0;902,1;28,2;19,4;59;0,0;0,0
2019-01-13;0;0,0;903,6;23,4;19,5;79;0,0;0,0
2019-01-13;1200;0,4;904,9;21,4;19,1;87;0,0;0,0
2019-01-13;1800;0,0;901,8;28,2;20,0;60;0,0;0,0
2019-01-14;0;0,2;903,7;22,8;20,7;86;0,0;0,0
2019-01-14;1200;0,0;904,7;25,2;18,4;64;0,0;0,0
2019-01-14;1800;0,0;901,7;29,8;18,3;49;0,0;0,0
2019-01-15;0;0,0;903,9;23,4;18,3;73;0,0;0,0
2019-01-15;1200;0,0;904,6;26,4;18,3;59;0,0;0,0
2019-01-15;1800;0,0;902,2;30,4;16,8;43;0,0;0,0
2019-01-16;0;0,0;904,3;26,2;18,3;62;0,0;0,0
2019-01-16;1200;0,0;904,7;26,4;20,5;70;0,0;0,0
2019-01-16;1800;0,0;902,8;32,6;20,5;48;0,0;0,0
2019-01-17;0;39,0;905,7;19,0;17,0;87;0,0;0,0
2019-01-17;1200;3,2;905,5;22,4;17,1;72;0,0;0,0
2019-01-17;1800;0,0;902,4;30,2;21,0;57;0,0;0,0
2019-01-18;0;0,0;903,7;24,8;19,6;73;0,0;0,0
2019-01-18;1200;0,0;905,1;21,2;20,5;91;0,0;0,0
2019-01-18;1800;0,0;901,1;29,2;21,4;62;0,0;0,0
2019-01-19;0;0,0;903,3;24,6;20,5;76;0,0;0,0
2019-01-19;1200;0,0;903,5;25,2;20,7;74;0,0;0,0
2019-01-19;1800;0,0;900,3;31,8;23,9;61;0,0;0,0
