DATA MEDICAO;HORA MEDICAO;PRECIPITACAO TOTAL, HORARIO(MM);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(MB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(CODIGO);VENTO, VELOCIDADE HORARIA(M/S)
2019-01-01;0;0,0;911,9;22,2;19,5;84;36,0;0,5
2019-01-01;1200;26,0;914,9;19,7;18,8;95;0,0;0,0
2019-01-01;1800;2,6;913,6;23,1;20,4;82;5,0;1,6
2019-01-02;0;0,0;913,8;22,3;19,8;84;0,0;0,0
2019-01-02;1200;0,0;916,1;26,5;17,7;58;9,0;0,7
2019-01-02;1800;0,0;912,8;27,9;17,8;53;36,0;0,5
2019-01-03;0;0,0;914,1;24,2;18,8;71;0,0;0,0
2019-01-03;1200;0,0;914,5;24,3;18,9;71;36,0;0,8
2019-01-03;1800;0,0;911,7;29,7;16,9;49;27,0;1,6
2019-01-04;0;0,0;912,7;25,1;18,8;66;0,0;0,0
2019-01-04;1200;12,0;914,6;19,7;17,5;87;5,0;1,6
2019-01-04;1800;0,2;912,6;24,3;16,0;60;32,0;1,6
2019-01-05;0;0,0;914,2;23,1;17,0;67;0,0;0,0
2019-01-05;1200;0,0;913,1;24,8;17,8;65;32,0;1,0
2019-01-05;1800;0,0;911,8;29,2;15,7;44;36,0;1,5
2019-01-06;0;0,0;912,8;25,5;18,0;63;0,0;0,0
2019-01-06;1200;0,0;914,1;25,9;17,1;57;36,0;1,6
2019-01-06;1800;0,0;911,6;31,2;12,5;34;36,0;1,8
2019-01-07;0;0,0;912,6;26,2;17,8;57;36,0;1,6
2019-01-07;1200;0,0;914,3;26,1;17,5;58;5,0;1,6
2019-01-07;1800;0,0;913,4;29,9;16,3;43;32,0;0,8
2019-01-08;0;0,0;913,0;26,1;16,9;57;36,0;1,6
2019-01-08;1200;0,0;916,0;26,0;18,2;62;36,0;1,8
2019-01-08;1800;0,0;912,9;28,4;18,8;56;36,0;1,8
2019-01-09;0;0,0;914,1;24,6;18,1;66;36,0;1,5
2019-01-09;1200;0,0;914,3;21,5;16,0;71;36,0;1,6
2019-01-09;1800;0,0;913,3;28,3;12,5;39;36,0;1,1
2019-01-10;0;0,0;913,2;24,1;12,4;47;0,0;0,0
2019-01-10;1200;0,0;914,7;23,5;15,1;60;36,0;2,0
2019-01-10;1800;0,0;912,6;29,1;13,0;36;36,0;1,5
2019-01-11;0;0,0;913,2;24,6;15,5;56;36,0;1,1
2019-01-11;1200;0,0;916,1;24,2;17,0;63;36,0;0,7
2019-01-11;1800;0,0;913,0;28,6;16,2;47;36,0;0,5
2019-01-12;0;0,0;913,2;25,2;16,9;57;36,0;1,3
2019-01-12;1200;0,0;914,4;24,7;17,7;64;36,0;0,8
2019-01-12;1800;0,0;912,3;29,1;16,6;46;36,0;1,3
2019-01-13;0;0,0;912,1;26,5;14,9;48;36,0;0,8
2019-01-13;1200;0,0;915,3;22,9;18,0;69;36,0;0,8
2019-01-13;1800;0,0;912,0;30,3;14,4;36;36,0;1,6
2019-01-14;0;0,0;912,0;25,1;15,7;54;36,0;1,6
2019-01-14;1200;0,0;915,7;25,0;16,4;60;36,0;3,3
2019-01-14;1800;0,0;912,8;30,0;0,0;41;36,0;1,8
2019-01-15;0;0,0;913,1;26,0;15,1;50;36,0;1,1
2019-01-15;1200;0,0;914,2;25,1;17,3;61;5,0;1,3
2019-01-15;1800;0,0;912,3;31,1;16,3;39;36,0;1,6
2019-01-16;0;0,0;912,9;27,1;17,0;53;36,0;0,8
2019-01-16;1200;0,0;915,1;27,1;17,9;57;36,0;0,8
