DATA MEDICAO;HORA MEDICAO;PRECIPITACAO TOTAL, HORARIO(MM);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(MB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(CODIGO);VENTO, VELOCIDADE HORARIA(M/S)
2019-01-01;0;0,7;939,9;22,1;21,2;96,0;36,0;0,7
2019-01-01;1200;0,4;943,4;24,2;21,3;83,0;32,0;0,5
2019-01-01;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-02;0;5,2;942,3;22,8;21,6;92,0;14,0;1,8
2019-01-02;1200;0,0;943,9;24,2;21,7;85,0;23,0;0,5
2019-01-02;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-03;0;0,0;941,9;24,8;22,5;86,0;5,0;0,7
2019-01-03;1200;0,0;942,3;26,1;22,6;81,0;5,0;1,1
2019-01-03;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-04;0;0,0;939,5;24,3;21,3;84,0;5,0;1,0
2019-01-04;1200;0,0;941,8;22,2;20,7;90,0;32,0;1,5
2019-01-04;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-05;0;0,0;940,7;22,8;18,8;78,0;9,0;0,7
2019-01-05;1200;0,0;941,1;27,3;21,0;70,0;5,0;1,0
2019-01-05;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-06;0;0,0;940,3;23,7;22,4;92,0;36,0;0,8
2019-01-06;1200;0,0;941,7;26,3;0,0;70,0;18,0;1,0
2019-01-06;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-07;0;0,0;939,7;26,9;0,0;78,0;9,0;3,5
2019-01-07;1200;0,0;943,6;24,4;19,5;75,0;32,0;1,3
2019-01-07;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-08;0;0,0;942,0;25,0;19,6;73,0;5,0;3,0
2019-01-08;1200;0,0;944,2;23,1;19,8;81,0;36,0;1,1
2019-01-08;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-09;0;0,0;942,0;23,6;18,9;74,0;14,0;2,5
2019-01-09;1200;0,0;942,9;24,9;19,2;70,0;9,0;3,1
2019-01-09;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-10;0;0,0;940,7;24,5;18,6;71,0;9,0;1,3
2019-01-10;1200;0,0;942,8;23,8;17,5;68,0;9,0;5,3
2019-01-10;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-11;0;0,0;940,9;23,7;19,7;79,0;27,0;1,1
2019-01-11;1200;0,0;943,9;24,3;20,3;79,0;36,0;1,0
2019-01-11;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-12;0;0,0;941,2;23,5;20,7;86,0;5,0;0,3
2019-01-12;1200;0,0;942,9;24,4;20,3;79,0;5,0;0,5
2019-01-12;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-13;0;0,0;940,4;24,3;20,5;80,0;32,0;0,3
2019-01-13;1200;0,0;943,4;26,2;0,0;65,0;14,0;2,3
2019-01-13;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-14;0;0,0;941,4;25,0;0,0;80,0;32,0;1,1
2019-01-14;1200;0,0;943,8;25,0;19,2;71,0;32,0;0,7
2019-01-14;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-15;0;0,0;940,5;25,5;19,8;72,0;14,0;2,1
2019-01-15;1200;0,0;944,0;25,2;20,2;72,0;5,0;2,8
2019-01-15;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-16;0;0,0;941,2;26,1;20,3;72,0;5,0;1,3
2019-01-16;1200;0,0;944,3;24,8;20,1;76,0;5,0;4,6
2019-01-16;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-17;0;0,0;941,3;27,1;21,1;70,0;9,0;1,5
2019-01-17;1200;0,0;943,7;25,4;21,5;80,0;36,0;1,1
2019-01-17;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-18;0;0,0;941,3;23,8;21,5;86,0;0,0;0,0
2019-01-18;1200;0,0;943,1;24,5;20,5;80,0;32,0;1,1
2019-01-18;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-19;0;0,0;939,3;25,4;20,6;76,0;14,0;1,1
2019-01-19;1200;0,0;941,7;25,3;18,4;65,0;5,0;1,6
2019-01-19;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-20;0;0,0;941,0;23,9;18,2;70,0;36,0;0,8
2019-01-20;1200;0,0;941,7;25,8;0,0;66,0;5,0;1,1
2019-01-20;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-21;0;0,0;940,5;26,6;0,0;74,0;18,0;1,5
2019-01-21;1200;0,0;943,3;25,3;20,0;71,0;14,0;3,1
2019-01-21;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-22;0;0,0;941,6;25,9;20,6;72,0;23,0;1,0
