DATA MEDICAO;HORA MEDICAO;PRECIPITACAO TOTAL, HORARIO(MM);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(MB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(CODIGO);VENTO, VELOCIDADE HORARIA(M/S)
2019-01-01;0;0,0;921,4;20,4;18,0;85,0;32,0;1,0
2019-01-01;1200;0,0;923,9;22,8;18,8;77,0;36,0;2,1
2019-01-01;1800;0,0;922,0;27,6;20,4;64,0;32,0;1,0
2019-01-02;0;0,0;923,7;22,2;20,1;86,0;0,0;0,0
2019-01-02;1200;0,0;925,0;25,4;19,3;68,0;36,0;0,5
2019-01-02;1800;0,0;921,7;28,8;18,6;52,0;23,0;0,5
2019-01-03;0;0,0;923,4;22,0;19,9;87,0;0,0;0,0
2019-01-03;1200;0,0;922,7;26,6;17,7;59,0;5,0;1,0
2019-01-03;1800;0,0;919,5;31,2;13,9;34,0;32,0;1,0
2019-01-04;0;0,0;921,4;22,2;17,8;74,0;0,0;0,0
2019-01-04;1200;0,0;922,2;24,4;18,8;71,0;5,0;0,5
2019-01-04;1800;0,0;919,0;28,8;17,3;48,0;5,0;0,5
2019-01-05;0;1,0;922,7;19,6;17,9;90,0;0,0;0,0
2019-01-05;1200;0,0;922,3;26,6;18,7;63,0;27,0;0,5
2019-01-05;1800;0,0;919,2;32,2;16,5;39,0;27,0;0,5
2019-01-06;0;0,0;922,1;20,6;18,5;87,0;0,0;0,0
2019-01-06;1200;0,0;923,4;25,0;19,4;72,0;36,0;1,0
2019-01-06;1800;0,0;920,3;30,8;14,4;36,0;36,0;0,5
2019-01-07;0;0,0;922,3;20,4;17,2;80,0;0,0;0,0
2019-01-07;1200;0,0;924,3;23,0;18,7;76,0;32,0;0,5
2019-01-07;1800;0,0;922,3;27,4;18,4;57,0;36,0;0,5
2019-01-08;0;0,0;923,6;21,2;18,2;83,0;0,0;0,0
2019-01-08;1200;0,0;925,1;23,4;18,7;75,0;32,0;1,0
2019-01-08;1800;0,0;921,9;27,8;19,3;60,0;5,0;0,5
2019-01-09;0;0,0;923,0;22,0;18,6;80,0;0,0;0,0
2019-01-09;1200;0,0;923,7;22,6;16,6;67,0;5,0;0,5
2019-01-09;1800;0,0;921,3;29,4;16,9;45,0;32,0;0,5
2019-01-10;0;0,0;922,5;21,0;18,2;82,0;0,0;0,0
2019-01-10;1200;0,0;924,0;22,2;17,3;72,0;5,0;0,5
2019-01-10;1800;0,0;921,2;28,8;17,3;48,0;32,0;0,5
2019-01-11;0;0,0;922,8;19,8;17,6;85,0;0,0;0,0
2019-01-11;1200;0,0;924,4;25,0;18,2;66,0;5,0;0,5
2019-01-11;1800;0,0;921,2;29,6;18,7;51,0;27,0;0,5
2019-01-12;0;0,0;923,0;22,4;19,4;82,0;0,0;0,0
2019-01-12;1200;0,0;923,7;24,8;18,3;66,0;27,0;0,5
2019-01-12;1800;0,0;921,2;28,4;18,8;55,0;27,0;1,5
2019-01-13;0;0,0;923,0;22,4;19,4;82,0;0,0;0,0
2019-01-13;1200;0,0;924,2;23,8;18,0;69,0;0,0;0,0
2019-01-13;1800;0,0;921,5;28,6;17,5;50,0;27,0;0,5
2019-01-14;0;0,0;923,4;21,8;19,4;84,0;0,0;0,0
2019-01-14;1200;0,0;924,5;23,4;18,5;73,0;32,0;0,5
2019-01-14;1800;0,0;921,7;30,4;17,5;45,0;32,0;0,5
2019-01-15;0;0,0;922,7;20,6;17,4;80,0;0,0;0,0
2019-01-15;1200;0,0;924,6;25,4;18,1;63,0;5,0;0,5
2019-01-15;1800;0,0;921,2;31,2;15,6;39,0;32,0;0,5
2019-01-16;0;0,0;922,7;23,6;18,9;74,0;0,0;0,0
2019-01-16;1200;0,0;924,9;25,4;18,6;65,0;32,0;1,0
2019-01-16;1800;0,0;921,1;32,4;18,9;45,0;5,0;0,5
2019-01-17;0;0,0;923,2;22,0;17,8;77,0;0,0;0,0
2019-01-17;1200;0,0;924,0;26,2;20,5;69,0;32,0;0,5
2019-01-17;1800;0,0;920,6;30,2;19,9;52,0;36,0;0,5
2019-01-18;0;3,0;922,4;19,4;18,2;92,0;0,0;0,0
2019-01-18;1200;0,0;923,4;24,0;19,9;79,0;36,0;1,0
2019-01-18;1800;0,0;919,9;30,2;20,2;54,0;27,0;0,5
2019-01-19;0;0,0;921,0;24,0;20,3;81,0;0,0;0,0
2019-01-19;1200;0,0;923,2;22,2;17,8;74,0;32,0;1,5
2019-01-19;1800;0,0;920,0;30,4;14,9;38,0;32,0;0,5
2019-01-20;0;0,0;920,8;22,2;18,6;78,0;0,0;0,0
2019-01-20;1200;0,0;923,5;24,2;18,2;67,0;36,0;3,1
2019-01-20;1800;0,0;920,2;32,6;16,4;36,0;27,0;1,0
2019-01-21;0;0,0;922,2;24,4;20,1;77,0;0,0;0,0
2019-01-21;1200;0,0;924,5;23,6;17,8;68,0;5,0;1,0
2019-01-21;1800;0,0;921,8;29,8;17,6;47,0;32,0;0,5
2019-01-22;0;0,0;923,4;22,8;18,3;75,0;0,0;0,0
2019-01-22;1200;0,0;924,3;23,8;17,8;69,0;32,0;0,5
2019-01-22;1800;0,0;921,8;27,4;19,7;61,0;32,0;0,5
2019-01-23;0;0,0;924,7;23,0;20,5;86,0;0,0;0,0
2019-01-23;1200;0,0;924,5;24,0;18,4;71,0;5,0;1,0
2019-01-23;1800;0,0;921,9;29,2;16,4;46,0;32,0;0,5
2019-01-24;0;0,0;922,6;21,0;16,8;75,0;0,0;0,0
2019-01-24;1200;0,0;924,4;23,4;18,7;75,0;5,0;0,5
2019-01-24;1800;0,0;921,1;29,8;18,6;50,0;5,0;0,5
2019-01-25;0;0,0;921,8;21,6;18,8;84,0;0,0;0,0
2019-01-25;1200;0,0;923,4;21,2;18,2;83,0;5,0;1,0
2019-01-25;1800;0,0;920,6;27,8;18,5;57,0;32,0;0,5
2019-01-26;0;0,0;922,8;22,4;18,6;78,0;0,0;0,0
2019-01-26;1200;0,0;924,3;24,0;18,4;71,0;32,0;0,5
2019-01-26;1800;0,0;921,4;29,2;16,0;44,0;36,0;0,5
2019-01-27;0;0,0;923,3;21,2;18,0;82,0;0,0;0,0
2019-01-27;1200;0,0;925,8;22,6;17,5;71,0;5,0;1,0
2019-01-27;1800;0,0;923,5;30,2;15,9;40,0;32,0;0,5
2019-01-28;0;0,0;925,1;21,4;17,6;77,0;0,0;0,0
2019-01-28;1200;0,0;926,3;26,4;19,5;65,0;5,0;0,5
2019-01-28;1800;0,0;923,8;29,6;19,3;53,0;5,0;0,5
2019-01-29;0;0,0;925,8;20,8;18,4;85,0;0,0;0,0
2019-01-29;1200;0,0;926,2;26,2;17,3;56,0;5,0;0,5
2019-01-29;1800;0,0;921,9;32,0;18,2;43,0;32,0;0,5
2019-01-30;0;0,0;923,8;21,2;17,6;80,0;0,0;0,0
2019-01-30;1200;0,0;924,2;25,2;16,9;59,0;36,0;1,5
2019-01-30;1800;3,8;921,8;23,4;17,4;69,0;5,0;1,0
2019-01-31;0;0,0;922,9;21,0;19,3;89,0;0,0;0,0
2019-01-31;1200;0,0;922,8;24,6;19,0;70,0;36,0;0,5
2019-01-31;1800;0,0;920,4;31,4;16,6;41,0;5,0;0,5
2019-02-01;0;0,0;922,2;21,8;18,8;81,0;0,0;0,0
2019-02-01;1200;0,0;923,3;25,6;19,5;67,0;5,0;1,0
2019-02-01;1800;0,0;920,6;31,0;18,0;44,0;5,0;0,5
2019-02-02;0;0,0;922,5;23,0;18,3;75,0;0,0;0,0
2019-02-02;1200;0,0;923,9;25,0;18,4;67,0;27,0;0,5
2019-02-02;1800;0,0;919,8;31,8;18,0;42,0;32,0;0,5
2019-02-03;0;0,0;920,7;24,8;17,8;65,0;0,0;0,0
2019-02-03;1200;0,0;921,1;26,6;18,2;60,0;36,0;1,0
2019-02-03;1800;0,0;917,6;32,4;17,5;41,0;18,0;1,0
2019-02-04;0;0,0;919,1;24,4;19,0;72,0;23,0;1,0
2019-02-04;1200;0,0;921,5;25,2;17,4;61,0;27,0;0,5
2019-02-04;1800;0,0;918,6;30,6;19,3;51,0;5,0;0,5
2019-02-05;0;0,0;921,3;22,0;18,8;82,0;27,0;1,0
2019-02-05;1200;1,2;921,5;23,6;20,5;82,0;5,0;0,5
2019-02-05;1800;28,0;920,1;22,0;20,8;94,0;0,0;0,0
2019-02-06;0;7,8;921,9;18,4;17,6;94,0;0,0;0,0
2019-02-06;1200;0,4;922,2;21,8;19,0;82,0;0,0;0,0
2019-02-06;1800;0,0;918,9;26,8;18,6;60,0;27,0;0,5
2019-02-07;0;0,8;920,8;20,8;19,8;94,0;0,0;0,0
2019-02-07;1200;12,2;920,2;22,2;18,8;79,0;27,0;1,0
2019-02-07;1800;8,2;917,6;22,6;20,1;84,0;0,0;0,0
2019-02-08;0;1,0;919,4;19,8;19,0;94,0;27,0;0,5
2019-02-08;1200;0,0;920,3;22,2;18,6;78,0;36,0;1,0
2019-02-08;1800;0,0;917,3;30,0;19,1;53,0;32,0;0,5
2019-02-09;0;2,0;920,4;20,8;19,5;92,0;0,0;0,0
2019-02-09;1200;0,0;921,7;22,0;19,5;85,0;0,0;0,0
2019-02-09;1800;0,0;919,4;25,8;19,7;68,0;0,0;0,0
2019-02-10;0;0,0;920,9;20,4;18,9;92,0;0,0;0,0
2019-02-10;1200;0,0;922,4;22,8;18,1;74,0;32,0;1,0
2019-02-10;1800;0,0;919,3;29,0;19,0;53,0;32,0;0,5
2019-02-11;0;0,0;921,1;23,2;19,1;77,0;0,0;0,0
2019-02-11;1200;0,0;923,9;24,2;17,0;63,0;36,0;1,5
2019-02-11;1800;0,0;921,5;29,8;17,3;46,0;36,0;1,0
2019-02-12;0;0,0;922,2;21,2;18,6;85,0;0,0;0,0
2019-02-12;1200;0,0;923,8;23,4;17,8;70,0;5,0;1,5
2019-02-12;1800;0,0;920,4;30,6;19,9;52,0;27,0;0,5
2019-02-13;0;0,0;920,6;22,0;19,2;83,0;0,0;0,0
2019-02-13;1200;0,0;920,4;26,2;20,3;68,0;5,0;0,5
2019-02-13;1800;15,2;919,1;23,4;21,3;88,0;0,0;0,0
2019-02-14;0;17,0;922,3;18,8;17,6;93,0;18,0;3,1
2019-02-14;1200;0,0;923,0;22,2;15,1;61,0;14,0;1,0
2019-02-14;1800;0,0;921,8;23,8;16,8;65,0;0,0;0,0
2019-02-15;0;0,0;922,6;19,6;17,6;88,0;0,0;0,0
2019-02-15;1200;0,0;921,2;22,2;18,2;76,0;36,0;1,0
2019-02-15;1800;0,0;918,1;26,4;18,8;62,0;5,0;1,0
2019-02-16;0;0,0;918,1;22,2;20,1;86,0;0,0;0,0
2019-02-16;1200;0,0;918,7;23,8;19,5;76,0;5,0;0,1
2019-02-16;1800;22,0;916,6;23,0;20,5;86,0;0,0;0,0
2019-02-17;0;0,0;918,2;21,2;20,0;94,0;0,0;0,0
2019-02-17;1200;4,0;919,8;21,2;19,7;92,0;27,0;0,5
2019-02-17;1800;6,8;918,7;24,8;22,5;86,0;5,0;0,5
2019-02-18;0;0,4;921,4;22,6;20,9;89,0;36,0;0,5
2019-02-18;1200;1,0;921,6;22,6;20,5;85,0;23,0;0,5
2019-02-18;1800;0,0;918,8;28,0;18,4;54,0;5,0;1,0
2019-02-19;0;6,4;921,5;22,0;20,6;92,0;0,0;0,0
2019-02-19;1200;10,8;921,5;22,8;20,5;85,0;5,0;0,5
2019-02-19;1800;0,0;918,3;30,0;20,5;58,0;5,0;0,5
2019-02-20;0;0,0;920,1;23,0;20,9;88,0;0,0;0,0
2019-02-20;1200;0,0;921,1;24,8;21,1;80,0;0,0;0,0
2019-02-20;1800;0,0;917,2;30,2;19,2;51,0;5,0;1,0
2019-02-21;0;0,0;919,7;22,4;21,6;87,0;0,0;0,0
2019-02-21;1200;0,0;922,6;26,4;21,4;73,0;5,0;0,5
2019-02-21;1800;2,0;923,1;22,4;19,8;83,0;0,0;0,0
2019-02-22;0;0,0;923,8;21,0;19,8;93,0;0,0;0,0
2019-02-22;1200;0,0;924,5;25,0;20,3;75,0;5,0;0,5
2019-02-22;1800;0,0;921,2;32,0;19,6;48,0;32,0;0,5
2019-02-23;0;0,0;923,2;23,0;20,9;88,0;0,0;0,0
2019-02-23;1200;0,0;922,8;25,4;20,0;72,0;36,0;1,5
2019-02-23;1800;0,0;919,3;31,6;17,5;43,0;5,0;0,5
2019-02-24;0;0,0;921,0;22,6;20,5;87,0;0,0;0,0
