DATA MEDICAO;HORA MEDICAO;PRECIPITACAO TOTAL, HORARIO(MM);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(MB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(CODIGO);VENTO, VELOCIDADE HORARIA(M/S)
2019-01-01;0;0,0;910,7;21,2;18,8;86,0;9,0;2,0
2019-01-01;1200;2,2;914,8;23,2;19,4;78,0;32,0;2,0
2019-01-01;1800;1,1;913,5;25,0;19,4;71,0;5,0;3,0
2019-01-02;0;0,1;914,0;22,0;20,5;91,0;5,0;2,0
2019-01-02;1200;0,0;914,8;24,4;20,3;78,0;36,0;1,0
2019-01-02;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-03;0;0,2;912,9;23,8;20,3;80,0;0,0;0,0
2019-01-03;1200;0,2;912,8;25,0;21,7;82,0;0,0;0,0
2019-01-03;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-04;0;63,6;912,9;20,2;19,5;95,0;0,0;0,0
2019-01-04;1200;1,0;913,4;22,4;21,2;93,0;0,0;0,0
2019-01-04;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-05;0;1,6;912,7;20,2;19,5;95,0;0,0;0,0
2019-01-05;1200;1,5;912,7;20,6;19,8;94,0;0,0;0,0
2019-01-05;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-06;0;0,0;912,6;21,2;18,8;86,0;0,0;0,0
2019-01-06;1200;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-06;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-07;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-07;1200;0,0;913,3;24,8;19,6;73,0;5,0;1,0
2019-01-07;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-08;0;0,0;913,4;25,2;18,9;67,0;0,0;0,0
2019-01-08;1200;0,0;914,3;25,4;20,0;72,0;0,0;0,0
2019-01-08;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-09;0;0,0;913,2;24,2;17,9;67,0;9,0;3,0
2019-01-09;1200;0,0;912,9;24,6;19,9;74,0;9,0;1,0
2019-01-09;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-10;0;0,0;912,7;24,6;15,5;55,0;9,0;1,0
2019-01-10;1200;0,0;913,9;23,6;17,8;69,0;5,0;1,0
2019-01-10;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-11;0;0,0;912,5;24,2;18,2;68,0;0,0;0,0
2019-01-11;1200;0,0;914,4;24,4;18,8;70,0;0,0;0,0
2019-01-11;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-12;0;0,0;912,3;26,8;18,9;61,0;14,0;1,0
2019-01-12;1200;0,0;913,8;24,6;19,7;72,0;5,0;2,0
2019-01-12;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-13;0;0,5;913,0;21,2;17,4;79,0;9,0;1,0
2019-01-13;1200;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-13;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-14;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-14;1200;0,0;914,4;24,8;18,7;69,0;0,0;0,0
2019-01-14;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-15;0;0,0;912,0;25,2;20,0;71,0;0,0;0,0
2019-01-15;1200;0,0;914,2;23,6;19,1;75,0;0,0;0,0
2019-01-15;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-16;0;0,0;912,7;25,0;20,3;75,0;0,0;0,0
2019-01-16;1200;0,0;914,3;26,4;21,2;72,0;0,0;0,0
2019-01-16;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-17;0;0,0;914,0;26,0;18,7;64,0;14,0;3,0
2019-01-17;1200;0,2;914,6;24,4;19,7;75,0;36,0;1,0
2019-01-17;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-18;0;0,0;912,2;26,2;19,0;63,0;0,0;0,0
2019-01-18;1200;0,0;913,5;25,4;19,1;68,0;5,0;3,0
2019-01-18;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-19;0;0,0;911,2;25,2;18,9;67,0;27,0;1,0
2019-01-19;1200;20,6;912,7;23,8;20,3;80,0;0,0;0,0
2019-01-19;1800;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019-01-20;0;0,0;911,1;24,2;20,1;77,0;9,0;3,0
2019-01-20;1200;0,0;0,0;0,0;0,0;0,0;0,0;0,0
