DATA MEDICAO;HORA MEDICAO;PRECIPITACAO TOTAL, HORARIO(MM);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(MB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(CODIGO);VENTO, VELOCIDADE HORARIA(M/S)
2019-01-01;0;5,6;908,8;20,6;19,8;94,0;14,0;1,0
2019-01-01;1200;0,0;911,8;22,4;20,5;88,0;36,0;3,0
2019-01-01;1800;16,0;910,9;20,4;19,1;93,0;32,0;1,0
2019-01-02;0;0,0;911,5;21,8;20,3;90,0;36,0;1,0
2019-01-02;1200;0,0;908,9;25,0;20,7;77,0;32,0;1,0
2019-01-02;1800;0,0;910,9;28,0;22,7;71,0;36,0;1,0
2019-01-03;0;11,8;911,7;21,5;20,8;96,0;32,0;1,0
2019-01-03;1200;0,0;911,0;23,8;18,9;73,0;32,0;3,0
2019-01-03;1800;0,0;908,0;27,0;21,3;75,0;36,0;3,0
2019-01-04;0;1,7;910,6;22,2;20,3;88,0;27,0;4,0
2019-01-04;1200;0,0;910,2;23,6;20,9;83,0;36,0;1,0
2019-01-04;1800;0,8;909,0;25,4;20,4;74,0;32,0;3,0
2019-01-05;0;25,2;911,0;19,1;18,6;96,0;27,0;1,0
2019-01-05;1200;0,4;910,9;22,0;19,7;86,0;27,0;3,0
2019-01-05;1800;0,0;909,2;26,7;21,0;72,0;27,0;4,0
2019-01-06;0;2,2;910,6;21,4;19,0;85,0;14,0;1,0
2019-01-06;1200;0,0;911,4;25,4;17,5;54,0;36,0;1,0
2019-01-06;1800;0,0;910,0;30,4;20,6;55,0;36,0;3,0
2019-01-07;0;0,0;910,1;24,0;19,1;75,0;9,0;3,0
2019-01-07;1200;0,0;912,6;24,5;19,6;75,0;36,0;3,0
2019-01-07;1800;0,0;910,7;30,0;21,7;61,0;36,0;1,0
2019-01-08;0;0,0;911,5;24,6;20,3;75,0;36,0;4,0
2019-01-08;1200;0,0;912,5;26,0;20,1;70,0;36,0;1,0
2019-01-08;1800;0,0;911,5;29,9;23,3;68,0;9,0;1,0
2019-01-09;0;0,0;911,8;24,4;21,5;100,0;36,0;1,0
2019-01-09;1200;0,0;912,1;23,4;18,9;76,0;36,0;3,0
2019-01-09;1800;0,0;911,2;27,8;20,1;66,0;9,0;3,0
2019-01-10;0;0,0;911,2;22,6;17,5;71,0;9,0;4,0
2019-01-10;1200;0,0;912,6;21,6;19,0;84,0;36,0;3,0
2019-01-10;1800;0,0;911,2;28,1;20,1;62,0;9,0;1,0
2019-01-11;0;0,0;910,9;22,9;18,6;76,0;5,0;3,0
2019-01-11;1200;0,0;913,3;25,0;16,1;73,0;36,0;1,0
2019-01-11;1800;0,0;911,4;29,4;20,0;56,0;14,0;4,0
2019-01-12;0;0,0;911,3;24,4;19,5;74,0;9,0;1,0
2019-01-12;1200;0,0;912,8;26,4;20,9;71,0;5,0;1,0
2019-01-12;1800;0,0;910,9;28,4;22,9;71,0;18,0;1,0
2019-01-13;0;0,0;911,3;22,4;19,9;85,0;23,0;1,0
2019-01-13;1200;0,0;912,7;23,0;19,6;81,0;5,0;1,0
2019-01-13;1800;0,0;911,7;28,2;20,0;60,0;5,0;1,0
2019-01-14;0;0,0;911,2;23,0;19,0;77,0;5,0;1,0
2019-01-14;1200;0,0;912,8;20,8;16,6;86,0;36,0;3,0
2019-01-14;1800;0,0;911,4;29,0;20,2;59,0;5,0;1,0
2019-01-15;0;0,0;910,8;24,0;18,2;71,0;9,0;1,0
2019-01-15;1200;0,0;913,2;24,4;19,9;75,0;32,0;3,0
2019-01-15;1800;0,0;910,8;29,0;20,0;62,0;14,0;3,0
2019-01-16;0;17,2;911,3;25,1;21,6;74,0;14,0;2,0
2019-01-16;1200;0,0;912,6;27,6;21,4;68,0;36,0;3,0
2019-01-16;1800;1,6;911,0;25,2;17,9;63,0;32,0;1,0
2019-01-17;0;1,0;913,1;21,4;18,0;79,0;36,0;1,0
2019-01-17;1200;0,0;912,6;26,0;19,6;69,0;36,0;1,0
2019-01-17;1800;0,0;910,3;31,1;21,3;55,0;9,0;1,0
2019-01-18;0;0,0;911,0;26,0;18,9;66,0;9,0;1,0
