DATA MEDICAO;HORA MEDICAO;PRECIPITACAO TOTAL, HORARIO(MM);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(MB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(CODIGO);VENTO, VELOCIDADE HORARIA(M/S)
2019-01-01;0;5,0;909,2;21,0;18,8;87,0;0,0;0,0
2019-01-01;1200;0,4;913,2;22,6;19,9;83,0;18,0;0,5
2019-01-01;1800;0,0;910,5;28,4;20,1;61,0;36,0;0,5
2019-01-02;0;1,6;913,1;22,6;19,8;82,0;0,0;0,0
2019-01-02;1200;0,0;913,8;24,8;20,1;75,0;36,0;1,5
2019-01-02;1800;0,0;910,2;26,8;20,9;69,0;18,0;1,0
2019-01-03;0;0,0;912,0;22,8;20,3;84,0;36,0;1,0
2019-01-03;1200;0,0;912,1;26,0;20,6;58,0;23,0;0,5
2019-01-03;1800;0,0;909,7;24,6;21,7;82,0;9,0;0,5
2019-01-04;0;0,6;912,3;20,8;19,6;93,0;23,0;0,5
2019-01-04;1200;1,6;911,7;25,0;21,7;82,0;36,0;1,0
2019-01-04;1800;0,6;909,6;21,6;20,1;91,0;36,0;0,5
2019-01-05;0;8,6;911,6;19,8;19,5;97,0;0,0;0,0
2019-01-05;1200;17,0;912,4;21,0;18,8;87,0;18,0;0,5
2019-01-05;1800;7,2;910,8;20,6;19,4;92,0;9,0;2,1
2019-01-06;0;15,4;911,8;19,2;18,9;98,0;0,0;0,0
2019-01-06;1200;0,0;912,0;23,4;20,3;82,0;27,0;0,5
2019-01-06;1800;0,0;909,5;29,2;18,9;54,0;36,0;1,5
2019-01-07;0;0,0;910,2;22,4;20,3;88,0;9,0;0,5
2019-01-07;1200;0,0;912,8;26,0;18,9;66,0;27,0;0,5
2019-01-07;1800;0,0;910,5;32,2;17,3;40,0;23,0;1,5
2019-01-08;0;0,0;912,0;24,0;19,9;78,0;32,0;0,5
2019-01-08;1200;0,0;913,5;25,8;19,7;69,0;18,0;0,5
2019-01-08;1800;0,0;911,4;25,6;19,0;65,0;18,0;1,5
2019-01-09;0;0,0;913,1;23,0;20,5;85,0;0,0;0,0
2019-01-09;1200;0,0;911,9;25,6;19,9;69,0;14,0;0,5
2019-01-09;1800;0,0;910,1;30,4;17,1;44,0;27,0;0,5
2019-01-10;0;0,0;910,5;25,4;15,4;53,0;27,0;0,5
2019-01-10;1200;0,0;912,7;25,6;17,5;60,0;9,0;3,6
2019-01-10;1800;0,0;909,8;31,0;17,3;42,0;36,0;1,5
2019-01-11;0;0,0;911,0;22,2;17,8;74,0;0,0;0,0
2019-01-11;1200;0,0;914,4;23,4;18,9;76,0;36,0;0,5
2019-01-11;1800;0,0;910,3;32,2;17,7;41,0;27,0;1,0
2019-01-12;0;6,2;912,8;20,2;18,3;88,0;18,0;1,0
2019-01-12;1200;0,2;913,5;24,0;19,1;75,0;14,0;0,5
2019-01-12;1800;0,0;909,4;33,6;18,1;38,0;9,0;1,5
2019-01-13;0;0,0;911,7;20,8;17,8;82,0;18,0;1,0
2019-01-13;1200;0,0;913,8;24,6;19,7;72,0;27,0;0,5
2019-01-13;1800;0,0;910,5;31,6;19,7;48,0;9,0;0,5
2019-01-14;0;0,4;911,7;21,0;18,8;87,0;0,0;0,0
2019-01-14;1200;0,0;913,5;24,8;19,0;70,0;36,0;1,5
2019-01-14;1800;0,0;909,9;30,2;19,2;50,0;5,0;2,6
2019-01-15;0;0,0;911,3;22,6;19,4;80,0;36,0;0,5
2019-01-15;1200;0,0;913,9;26,2;19,6;66,0;23,0;0,5
2019-01-15;1800;0,0;910,8;26,2;20,1;67,0;9,0;0,5
2019-01-16;0;0,0;912,0;22,0;20,5;91,0;5,0;0,5
2019-01-16;1200;0,0;913,3;25,6;20,4;71,0;0,0;0,0
2019-01-16;1800;0,0;910,0;33,0;18,4;41,0;27,0;1,5
2019-01-17;0;0,7;913,6;19,8;18,6;92,0;18,0;1,0
2019-01-17;1200;0,1;913,9;25,0;16,2;68,0;18,0;0,5
2019-01-17;1800;0,0;910,6;31,2;17,1;42,0;18,0;0,5
2019-01-18;0;0,0;912,8;26,6;17,9;60,0;36,0;0,5
2019-01-18;1200;0,0;911,9;26,6;20,2;68,0;0,0;0,0
2019-01-18;1800;0,0;908,5;32,6;19,1;43,0;36,0;1,5
2019-01-19;0;0,0;910,4;23,0;20,5;85,0;27,0;0,5
2019-01-19;1200;5,4;911,9;22,6;20,5;87,0;5,0;0,5
2019-01-19;1800;0,0;908,9;32,0;19,6;48,0;9,0;1,0
2019-01-20;0;0,0;910,0;22,4;20,7;89,0;0,0;0,0
