Municipio;Ano;target_por_area;preco_6;TNx_6;TNn_6;TXx_6;TXn_6;TX90p_6;Tn90p_6;WD30_6;WN22_6;Frost_6;Tn10p_6;TXMCD_6;Tmin7_6;Tmin3_6;Tmin2_6;Tmin1_6;Tmax10_6;Tmax7_6;PRCPTOT_6;Drydays_6;Wetdays_6;CWD_6;CDD_6;Wet20mm_6;Prec-Intensity_6;rx1day_6;rx5day_6;r95p_6;pr-wet-qrt_6;pr-dry-qrt_6;preco_7;TNx_7;TNn_7;TXx_7;TXn_7;TX90p_7;Tn90p_7;WD30_7;WN22_7;Frost_7;Tn10p_7;TXMCD_7;Tmin7_7;Tmin3_7;Tmin2_7;Tmin1_7;Tmax10_7;Tmax7_7;PRCPTOT_7;Drydays_7;Wetdays_7;CWD_7;CDD_7;Wet20mm_7;Prec-Intensity_7;rx1day_7;rx5day_7;r95p_7;pr-wet-qrt_7;pr-dry-qrt_7;preco_8;TNx_8;TNn_8;TXx_8;TXn_8;TX90p_8;Tn90p_8;WD30_8;WN22_8;Frost_8;Tn10p_8;TXMCD_8;Tmin7_8;Tmin3_8;Tmin2_8;Tmin1_8;Tmax10_8;Tmax7_8;PRCPTOT_8;Drydays_8;Wetdays_8;CWD_8;CDD_8;Wet20mm_8;Prec-Intensity_8;rx1day_8;rx5day_8;r95p_8;pr-wet-qrt_8;pr-dry-qrt_8;preco_9;TNx_9;TNn_9;TXx_9;TXn_9;TX90p_9;Tn90p_9;WD30_9;WN22_9;Frost_9;Tn10p_9;TXMCD_9;Tmin7_9;Tmin3_9;Tmin2_9;Tmin1_9;Tmax10_9;Tmax7_9;PRCPTOT_9;Drydays_9;Wetdays_9;CWD_9;CDD_9;Wet20mm_9;Prec-Intensity_9;rx1day_9;rx5day_9;r95p_9;pr-wet-qrt_9;pr-dry-qrt_9;preco_10;TNx_10;TNn_10;TXx_10;TXn_10;TX90p_10;Tn90p_10;WD30_10;WN22_10;Frost_10;Tn10p_10;TXMCD_10;Tmin7_10;Tmin3_10;Tmin2_10;Tmin1_10;Tmax10_10;Tmax7_10;PRCPTOT_10;Drydays_10;Wetdays_10;CWD_10;CDD_10;Wet20mm_10;Prec-Intensity_10;rx1day_10;rx5day_10;r95p_10;pr-wet-qrt_10;pr-dry-qrt_10;preco_11;TNx_11;TNn_11;TXx_11;TXn_11;TX90p_11;Tn90p_11;WD30_11;WN22_11;Frost_11;Tn10p_11;TXMCD_11;Tmin7_11;Tmin3_11;Tmin2_11;Tmin1_11;Tmax10_11;Tmax7_11;PRCPTOT_11;Drydays_11;Wetdays_11;CWD_11;CDD_11;Wet20mm_11;Prec-Intensity_11;rx1day_11;rx5day_11;r95p_11;pr-wet-qrt_11;pr-dry-qrt_11;preco_12;TNx_12;TNn_12;TXx_12;TXn_12;TX90p_12;Tn90p_12;WD30_12;WN22_12;Frost_12;Tn10p_12;TXMCD_12;Tmin7_12;Tmin3_12;Tmin2_12;Tmin1_12;Tmax10_12;Tmax7_12;PRCPTOT_12;Drydays_12;Wetdays_12;CWD_12;CDD_12;Wet20mm_12;Prec-Intensity_12;rx1day_12;rx5day_12;r95p_12;pr-wet-qrt_12;pr-dry-qrt_12;preco_1;TNx_1;TNn_1;TXx_1;TXn_1;TX90p_1;Tn90p_1;WD30_1;WN22_1;Frost_1;Tn10p_1;TXMCD_1;Tmin7_1;Tmin3_1;Tmin2_1;Tmin1_1;Tmax10_1;Tmax7_1;PRCPTOT_1;Drydays_1;Wetdays_1;CWD_1;CDD_1;Wet20mm_1;Prec-Intensity_1;rx1day_1;rx5day_1;r95p_1;pr-wet-qrt_1;pr-dry-qrt_1;preco_2;TNx_2;TNn_2;TXx_2;TXn_2;TX90p_2;Tn90p_2;WD30_2;WN22_2;Frost_2;Tn10p_2;TXMCD_2;Tmin7_2;Tmin3_2;Tmin2_2;Tmin1_2;Tmax10_2;Tmax7_2;PRCPTOT_2;Drydays_2;Wetdays_2;CWD_2;CDD_2;Wet20mm_2;Prec-Intensity_2;rx1day_2;rx5day_2;r95p_2;pr-wet-qrt_2;pr-dry-qrt_2;preco_3;TNx_3;TNn_3;TXx_3;TXn_3;TX90p_3;Tn90p_3;WD30_3;WN22_3;Frost_3;Tn10p_3;TXMCD_3;Tmin7_3;Tmin3_3;Tmin2_3;Tmin1_3;Tmax10_3;Tmax7_3;PRCPTOT_3;Drydays_3;Wetdays_3;CWD_3;CDD_3;Wet20mm_3;Prec-Intensity_3;rx1day_3;rx5day_3;r95p_3;pr-wet-qrt_3;pr-dry-qrt_3;preco_4;TNx_4;TNn_4;TXx_4;TXn_4;TX90p_4;Tn90p_4;WD30_4;WN22_4;Frost_4;Tn10p_4;TXMCD_4;Tmin7_4;Tmin3_4;Tmin2_4;Tmin1_4;Tmax10_4;Tmax7_4;PRCPTOT_4;Drydays_4;Wetdays_4;CWD_4;CDD_4;Wet20mm_4;Prec-Intensity_4;rx1day_4;rx5day_4;r95p_4;pr-wet-qrt_4;pr-dry-qrt_4;preco_5;TNx_5;TNn_5;TXx_5;TXn_5;TX90p_5;Tn90p_5;WD30_5;WN22_5;Frost_5;Tn10p_5;TXMCD_5;Tmin7_5;Tmin3_5;Tmin2_5;Tmin1_5;Tmax10_5;Tmax7_5;PRCPTOT_5;Drydays_5;Wetdays_5;CWD_5;CDD_5;Wet20mm_5;Prec-Intensity_5;rx1day_5;rx5day_5;r95p_5;pr-wet-qrt_5;pr-dry-qrt_5;cluster
Abre_Campo;2012;1.079924242424242;305.53;14.61;7.91;27.16;19.43;2;1;0;0;0;1;2;0;0;0;0;0;0;13.53;26;4;3;10;0;3.16;5.07;10.37;0;216.36;117.73;284.72;13.24;5.57;28.72;19.95;3;0;0;0;0;5;3;5;0;0;0;0;0;1.39;31;0;0;31;0;0.0;0.91;0.96;0;34.79;22.87;277.05;15.96;8.33;30.8;16.94;8;2;3;0;0;1;9;0;0;0;0;0;0;2.33;30;1;1;29;0;1.86;1.86;1.86;0;22.96;17.26;261.9;16.55;6.64;32.64;21.43;3;1;3;0;0;10;8;2;0;0;0;0;0;7.23;29;1;1;29;0;4.52;4.52;6.74;0;13.11;10.96;259.27;18.77;11.39;31.09;18.36;2;3;4;0;0;3;5;0;0;0;0;0;0;162.82;16;15;3;4;3;10.77;36.48;62.27;3;181.6;17.36;267.47;19.2;11.53;29.64;18.8;0;2;0;0;0;7;11;0;0;0;0;0;0;286.45;14;16;7;11;4;17.87;54.05;123.28;5;478.85;181.58;259.41;19.9;15.79;30.27;21.91;0;3;1;0;0;1;9;0;0;0;0;0;0;382.48;7;24;14;4;5;15.83;69.77;170.39;5;831.75;532.06;266.02;20.08;16.5;30.08;21.86;0;1;1;0;0;0;21;0;0;0;0;0;0;244.62;15;16;12;11;3;15.14;57.95;177.92;3;1045.23;908.1;258.87;19.69;15.78;31.96;25.79;2;2;7;0;0;5;29;0;0;0;0;0;0;26.06;22;7;2;8;0;3.5;12.16;13.63;0;911.78;625.92;225.65;19.64;13.77;32.18;20.48;2;3;4;0;0;5;17;0;0;0;0;0;0;102.53;19;12;3;5;1;8.31;31.31;45.22;1;587.63;373.2;201.28;18.03;11.2;29.65;21.47;0;4;0;0;0;2;9;0;0;0;0;0;0;48.2;23;7;1;6;0;6.61;15.2;17.6;0;204.14;169.47;194.52;16.15;11.51;27.88;17.57;2;2;0;0;0;0;5;0;0;0;0;0;0;91.81;22;9;3;8;1;10.0;29.44;56.81;1;243.97;193.35;1
Abre_Campo;2013;1.079924242424242;178.69;16.92;9.22;27.07;20.67;2;11;0;0;0;0;2;0;0;0;0;0;0;1.57;30;0;0;30;0;0.0;0.82;1.0;0;227.83;141.59;207.31;14.71;6.17;27.52;19.86;3;3;0;0;0;2;7;2;0;0;0;0;0;1.34;31;0;0;31;0;0.0;0.38;1.0;0;125.03;85.46;198.94;14.59;7.39;27.48;20.34;0;2;0;0;0;2;3;0;0;0;0;0;0;2.25;31;0;0;31;0;0.0;0.69;1.41;0;70.63;4.66;194.55;17.81;8.18;33.63;19.35;8;7;8;0;0;6;9;0;0;0;0;0;0;10.95;27;3;2;20;0;3.53;6.6;8.29;0;14.54;4.0;186.45;19.08;7.97;35.27;20.55;7;2;9;0;0;3;17;0;0;0;0;0;0;59.5;25;6;2;12;0;9.62;18.7;24.17;0;113.51;33.01;168.13;19.28;13.71;32.98;20.9;2;1;3;0;0;1;4;0;0;0;0;0;0;256.09;7;23;12;3;4;11.08;26.92;74.85;4;327.05;197.67;160.54;20.6;17.28;33.15;26.24;10;11;18;0;0;0;31;0;0;0;0;0;0;103.67;20;11;3;8;2;9.29;31.53;75.57;3;432.14;327.33;163.49;20.82;16.19;31.21;23.18;1;5;4;0;0;1;12;0;0;0;0;0;0;334.93;14;17;7;6;8;19.62;51.2;131.97;8;656.75;485.14;156.48;19.67;16.09;30.77;24.8;0;2;4;0;0;2;22;0;0;0;0;0;0;60.54;20;8;3;16;0;7.39;18.81;87.76;0;604.73;528.21;151.97;20.36;15.62;31.98;21.9;3;6;5;0;0;1;17;0;0;0;0;0;0;268.97;12;19;7;7;4;14.05;42.44;92.56;5;664.96;554.82;148.82;19.47;9.48;29.71;21.38;0;6;0;0;0;7;8;0;0;0;0;0;0;66.05;20;10;9;15;0;6.41;15.16;50.87;0;639.15;392.69;150.82;16.11;10.04;28.22;19.42;0;3;0;0;0;3;6;0;0;0;0;0;0;75.61;23;8;7;17;0;9.3;17.37;49.4;0;407.82;350.25;1
Abre_Campo;2014;0.8;130.72;16.11;9.8;28.48;20.56;1;6;0;0;0;0;2;0;0;0;0;0;0;13.83;27;3;2;21;0;4.33;7.47;22.15;0;348.03;156.03;132.13;15.57;5.46;27.98;18.48;3;8;0;0;0;2;4;1;0;0;0;0;0;5.59;30;1;1;30;0;4.71;4.71;4.85;0;101.14;95.03;124.29;15.51;6.37;30.94;19.45;2;1;1;0;0;4;6;3;0;0;0;0;0;8.46;30;1;1;27;0;6.37;6.37;7.15;0;95.08;27.88;121.96;19.54;9.68;34.76;19.52;3;5;3;0;0;1;17;0;0;0;0;0;0;30.87;22;8;3;18;0;3.69;7.85;18.29;0;76.67;25.52;113.4;19.08;11.27;31.11;16.89;0;3;3;0;0;7;10;0;0;0;0;0;0;88.39;18;13;8;7;0;6.69;18.53;45.94;0;129.59;104.03;102.47;20.19;12.9;32.91;20.7;2;2;3;0;0;1;14;0;0;0;0;0;0;134.74;12;18;9;4;1;7.36;21.81;50.13;1;254.0;179.63;107.92;20.65;17.22;32.08;21.9;5;10;8;0;0;0;8;0;0;0;0;0;0;302.0;6;25;14;4;5;12.02;45.43;129.26;5;536.71;322.11;115.33;19.71;15.67;33.05;26.44;2;1;11;0;0;4;31;0;0;0;0;0;0;35.56;26;5;1;10;0;6.74;16.82;19.01;0;483.32;468.41;142.68;19.3;15.22;31.57;26.0;1;0;12;0;0;4;28;0;0;0;0;0;0;30.09;21;7;7;15;0;4.07;9.02;23.68;0;421.15;367.65;185.2;20.08;15.63;30.75;22.75;1;2;2;0;0;2;22;0;0;0;0;0;0;86.46;21;10;3;8;1;8.24;22.95;37.49;1;322.42;155.06;193.21;19.5;7.3;30.24;22.41;2;8;1;0;0;5;14;0;0;0;0;0;0;60.62;17;13;4;6;0;4.59;8.16;22.63;0;177.17;152.42;181.83;18.08;6.93;29.23;19.73;3;3;0;0;0;5;8;1;0;0;0;0;0;6.81;28;3;3;24;0;1.98;2.92;5.94;0;176.9;147.95;1
Abre_Campo;2015;1.2;172.37;15.68;8.37;26.65;21.73;0;4;0;0;0;0;6;0;0;0;0;0;0;2.52;30;0;0;30;0;0.0;0.91;1.35;0;121.93;52.39;169.27;15.08;6.97;27.57;18.89;3;9;0;0;0;1;4;1;0;0;0;0;0;30.88;24;7;3;13;0;4.16;9.81;23.36;0;54.81;22.43;175.89;16.38;5.17;30.25;20.08;5;3;1;0;0;6;11;3;0;0;0;0;0;11.81;28;3;2;19;0;3.68;5.16;7.97;0;48.46;39.39;170.38;18.24;7.13;33.49;21.64;4;6;4;0;0;4;12;0;0;0;0;0;0;5.85;29;1;1;26;0;4.23;4.23;6.28;0;69.26;47.02;187.05;20.89;8.17;34.82;20.41;10;5;10;0;0;7;14;0;0;0;0;0;0;79.11;26;5;4;24;3;15.48;22.58;55.37;3;96.84;59.01;182.75;20.24;11.13;31.43;21.79;2;8;2;0;0;5;14;0;0;0;0;0;0;215.01;15;15;8;8;5;14.33;34.55;81.07;5;340.44;96.84;177.33;20.77;14.8;33.73;21.78;6;5;10;0;0;2;17;0;0;0;0;0;0;124.06;16;15;4;7;1;8.2;23.96;79.0;1;419.17;349.77;177.74;20.73;15.77;34.62;28.17;11;3;23;0;0;1;31;0;0;0;0;0;0;40.56;22;9;3;17;0;4.45;7.81;16.53;0;419.34;379.56;165.62;19.81;16.78;31.55;22.2;1;4;7;0;0;0;20;0;0;0;0;0;0;118.7;14;14;7;6;0;8.48;17.4;60.15;0;409.56;288.28;149.16;20.44;15.45;31.18;23.64;3;9;8;0;0;0;20;0;0;0;0;0;0;74.5;20;11;5;10;1;6.52;20.39;49.77;1;260.37;210.35;149.45;19.32;13.54;31.64;20.97;4;6;2;0;0;3;11;0;0;0;0;0;0;38.29;25;5;2;16;1;7.12;26.81;30.44;1;246.62;226.96;144.79;17.42;9.86;27.23;20.0;1;6;0;0;0;0;2;0;0;0;0;0;0;111.03;23;8;3;8;2;13.77;38.89;58.17;2;248.73;206.43;1
Abre_Campo;2016;1.2;151.12;16.25;7.02;28.37;18.94;2;5;0;0;0;2;4;0;0;0;0;0;0;9.25;26;4;2;15;0;2.0;2.83;58.17;0;205.33;152.46;135.75;15.16;9.24;27.72;19.54;2;5;0;0;0;0;3;0;0;0;0;0;0;10.41;30;1;1;26;0;9.8;9.8;9.98;0;151.75;121.44;135.27;15.83;8.41;29.23;21.69;3;7;0;0;0;0;6;0;0;0;0;0;0;2.86;30;1;1;27;0;2.35;2.35;2.66;0;83.55;18.16;119.6;18.58;11.11;34.93;21.14;8;13;9;0;0;0;16;0;0;0;0;0;0;43.51;22;8;5;16;0;5.44;15.93;31.2;0;59.2;51.44;122.08;20.03;14.24;36.47;24.53;13;7;15;0;0;0;21;0;0;0;0;0;0;57.25;23;8;3;16;1;7.16;35.87;38.24;1;103.61;60.15;117.53;20.8;17.06;35.13;24.77;12;23;13;0;0;0;15;0;0;0;0;0;0;152.22;20;10;8;13;3;15.17;30.24;81.53;3;359.04;103.51;123.18;20.61;16.41;31.4;25.55;5;10;9;0;0;0;31;0;0;0;0;0;0;195.26;15;16;7;6;4;12.08;46.28;110.38;4;402.2;380.26;121.39;21.31;14.06;33.46;22.63;3;13;7;0;0;2;11;0;0;0;0;0;0;341.31;13;18;14;8;6;18.86;59.88;188.2;6;694.04;423.37;120.82;20.56;15.85;33.36;26.92;7;10;20;0;0;2;29;0;0;0;0;0;0;23.44;24;5;2;8;0;4.41;8.74;18.13;0;672.91;471.62;135.5;20.99;16.44;30.82;27.16;1;8;6;0;0;0;31;0;0;0;0;0;0;61.45;21;10;7;13;0;6.06;15.3;33.4;0;450.26;419.37;134.36;18.79;14.25;31.43;20.15;19;5;11;0;0;0;27;0;0;0;0;0;0;43.64;25;5;2;16;0;8.61;16.75;30.25;0;411.24;128.68;135.26;17.73;10.51;29.47;21.18;7;6;0;0;0;1;11;0;0;0;0;0;0;11.68;28;3;1;13;0;3.69;7.33;32.07;0;133.41;115.9;1
Abre_Campo;2017;0.9602446483180428;145.22;17.73;5.36;30.49;16.11;4;10;1;0;0;5;4;4;0;0;0;0;0;44.79;25;5;3;21;0;8.28;19.52;35.05;1;134.52;92.97;155.8;14.63;8.3;29.36;19.64;9;3;0;0;0;0;8;0;0;0;0;0;0;1.06;31;0;0;31;0;0.0;0.67;0.77;0;92.82;55.71;156.61;17.71;6.87;31.95;19.02;7;8;2;0;0;3;10;1;0;0;0;0;0;1.52;30;1;1;15;0;1.19;1.19;1.28;0;55.61;13.05;155.21;18.2;10.73;32.88;19.74;5;8;5;0;0;1;19;0;0;0;0;0;0;74.43;25;5;3;19;2;14.76;23.76;47.28;2;82.72;3.69;160.15;20.02;13.11;33.36;19.42;5;9;6;0;0;0;15;0;0;0;0;0;0;97.18;21;10;4;8;1;9.51;35.27;44.56;1;178.11;120.38;165.98;19.69;12.58;31.36;20.37;1;4;2;0;0;2;11;0;0;0;0;0;0;242.87;13;17;6;4;5;14.2;53.42;97.96;5;431.43;189.93;149.58;20.27;15.37;32.44;21.91;6;6;10;0;0;2;15;0;0;0;0;0;0;315.66;8;23;14;3;4;13.65;80.37;115.24;4;692.23;584.96;161.54;20.15;15.96;32.98;24.34;4;4;11;0;0;3;16;0;0;0;0;0;0;92.62;23;8;3;11;1;11.35;35.02;71.46;1;681.33;612.61;163.06;19.54;17.17;30.42;25.57;0;2;2;0;0;0;28;0;0;0;0;0;0;132.03;12;16;7;5;1;8.01;26.48;93.1;2;739.25;533.83;155.9;19.85;12.93;32.6;22.29;4;4;8;0;0;7;18;0;0;0;0;0;0;78.46;22;9;3;8;1;8.35;33.29;38.28;1;388.77;274.17;153.2;19.09;12.1;30.12;19.26;3;3;1;0;0;3;12;0;0;0;0;0;0;70.55;21;9;2;6;0;7.59;19.14;35.16;0;304.14;257.44;146.12;18.27;8.53;27.67;17.5;1;5;0;0;0;1;5;0;0;0;0;0;0;28.48;27;4;2;18;0;5.84;15.02;23.35;0;191.79;167.07;1
Abre_Campo;2018;1.2;143.5;16.67;8.86;28.48;20.94;5;9;0;0;0;0;6;0;0;0;0;0;0;6.22;28;2;1;14;0;1.99;2.23;2.92;0;159.35;105.2;159.13;14.26;7.56;27.04;19.55;1;1;0;0;0;1;2;0;0;0;0;0;0;1.46;31;0;0;31;0;0.0;0.63;2.87;0;104.07;36.2;162.52;15.93;6.92;31.57;19.59;3;3;2;0;0;2;6;1;0;0;0;0;0;0.36;31;0;0;31;0;0.0;0.36;0.36;0;35.93;7.99;152.7;17.76;9.3;31.18;23.04;1;1;1;0;0;2;24;0;0;0;0;0;0;1.39;29;1;1;28;0;1.39;1.39;1.39;0;7.9;3.21;136.62;19.67;14.56;33.59;24.82;10;7;15;0;0;0;26;0;0;0;0;0;0;57.8;26;5;4;26;1;11.4;20.22;36.78;1;71.97;22.17;138.43;19.85;15.2;31.88;20.72;2;6;3;0;0;0;9;0;0;0;0;0;0;139.43;10;20;7;3;0;6.89;16.34;58.44;0;288.45;97.69;136.65;20.34;15.56;32.46;22.05;4;6;6;0;0;1;20;0;0;0;0;0;0;293.65;15;16;9;8;5;18.22;69.05;197.03;5;537.81;415.25;134.87;20.56;15.71;33.83;25.09;9;7;20;0;0;1;31;0;0;0;0;0;0;137.38;19;12;6;14;1;11.27;55.29;59.95;1;608.65;532.67;132.63;20.72;14.97;30.77;20.99;0;12;3;0;0;2;23;0;0;0;0;0;0;293.07;7;21;9;5;4;13.93;53.92;140.48;5;723.41;679.84;128.66;20.99;15.77;32.15;26.8;2;15;7;0;0;0;31;0;0;0;0;0;0;193.3;14;17;6;4;3;11.3;39.28;84.67;3;637.82;596.81;126.31;19.5;12.54;29.33;22.55;0;2;0;0;0;1;9;0;0;0;0;0;0;68.13;18;12;7;12;0;5.48;13.97;46.76;0;612.94;503.62;123.19;17.06;7.1;27.71;19.88;0;6;0;0;0;4;8;0;0;0;0;0;0;27.56;27;4;2;12;0;6.26;11.18;12.0;0;371.18;243.46;1
Abre_Campo;2019;1.5;123.18;16.36;9.51;27.28;19.54;3;10;0;0;0;0;3;0;0;0;0;0;0;3.06;29;1;1;18;0;2.61;2.61;2.71;0;174.32;98.75;125.22;14.16;8.54;27.54;19.06;6;1;0;0;0;0;9;0;0;0;0;0;0;1.83;31;0;0;31;0;0.0;0.59;1.17;0;55.54;32.38;117.15;16.81;10.04;28.77;19.69;1;13;0;0;0;0;3;0;0;0;0;0;0;71.37;23;8;5;13;1;8.79;28.73;40.07;1;93.94;76.21;107.23;19.45;10.04;31.86;20.32;1;8;1;0;0;0;7;0;0;0;0;0;0;46.29;24;6;2;14;1;7.42;23.11;26.66;1;123.21;76.21;112.76;20.31;13.77;32.27;20.84;3;13;5;0;0;0;12;0;0;0;0;0;0;169.49;18;13;6;8;3;12.98;55.98;102.4;3;263.95;122.14;113.25;20.36;14.86;30.7;19.18;0;8;1;0;0;1;9;0;0;0;0;0;0;137.08;17;13;3;6;1;10.36;36.94;64.96;1;354.75;269.13;105.41;20.7;13.59;33.15;21.61;7;8;11;0;0;4;21;0;0;0;0;0;0;186.01;14;17;8;9;3;10.87;26.59;81.47;3;508.41;397.9;107.04;20.41;17.11;32.53;27.72;10;7;23;0;0;0;31;0;0;0;0;0;0;44.68;23;8;2;11;0;5.52;12.81;78.6;0;518.03;367.77;107.01;20.63;17.54;33.97;24.08;6;11;12;0;0;0;14;0;0;0;0;0;0;130.43;15;13;5;5;3;9.9;25.08;66.65;3;371.25;365.81;101.13;21.04;14.91;32.22;22.15;9;13;12;0;0;1;21;0;0;0;0;0;0;94.54;13;18;7;5;1;5.16;20.01;28.71;1;363.94;269.04;97.74;20.14;15.5;31.01;25.19;7;13;3;0;0;0;30;0;0;0;0;0;0;101.72;19;11;4;6;1;9.13;37.99;51.18;2;327.41;279.85;98.2;19.01;12.46;29.5;21.11;11;16;0;0;0;0;13;0;0;0;0;0;0;41.69;22;9;5;12;0;4.54;11.53;27.94;0;316.0;228.69;1
Abre_Campo;2020;1.5;110.88;15.85;8.21;29.18;22.25;5;11;0;0;0;0;5;0;0;0;0;0;0;12.2;29;1;1;26;0;12.08;12.08;12.15;0;226.44;138.27;117.05;14.62;5.64;29.3;20.72;9;1;0;0;0;5;5;4;0;0;0;0;0;1.85;30;1;1;25;0;1.66;1.66;1.71;0;117.78;55.01;103.89;16.34;7.42;30.1;20.9;6;9;1;0;0;2;7;0;0;0;0;0;0;15.01;29;2;1;20;0;7.18;9.25;15.01;0;29.06;15.83;101.09;19.54;12.68;35.03;17.79;10;8;10;0;0;0;15;0;0;0;0;0;0;18.76;28;2;2;25;0;9.36;15.4;18.76;0;35.58;16.91;99.45;19.55;14.51;33.77;22.0;2;9;11;0;0;0;10;0;0;0;0;0;0;43.84;22;9;4;19;0;4.73;11.03;25.71;0;86.88;34.79;108.14;21.67;15.18;35.1;22.07;7;9;7;0;0;0;14;0;0;0;0;0;0;195.06;12;18;10;8;3;10.79;34.5;94.94;3;257.66;92.07;125.25;20.41;16.25;31.4;22.15;2;11;4;0;0;0;14;0;0;0;0;0;0;238.6;12;19;4;5;3;12.45;65.48;124.16;3;503.35;402.89;120.27;21.18;17.06;33.97;21.96;7;18;11;0;0;0;20;0;0;0;0;0;0;315.87;16;15;8;8;3;20.82;89.82;206.28;3;760.39;517.54;112.9;20.73;15.81;32.3;22.1;2;12;8;0;0;1;9;0;0;0;0;0;0;269.88;11;18;9;2;5;14.94;73.39;119.66;5;895.39;769.6;116.75;20.37;13.6;30.15;20.99;0;4;1;0;0;4;14;0;0;0;0;0;0;184.47;13;18;8;8;2;10.18;22.89;114.47;2;803.91;760.1;109.05;19.4;11.05;30.51;22.14;1;9;1;0;0;2;8;0;0;0;0;0;0;89.23;19;11;5;13;1;7.97;33.56;59.61;1;777.37;543.54;100.66;17.03;6.36;27.62;19.04;1;2;0;0;0;4;2;3;0;0;0;0;0;51.96;23;8;3;6;0;6.44;18.99;23.26;0;514.55;243.0;1
Abre_Campo;2021;1.2;98.75;16.81;7.28;27.86;21.42;5;6;0;0;0;4;7;0;0;0;0;0;0;5.1;29;1;1;21;0;2.66;2.66;3.08;0;218.09;146.12;101.41;15.7;8.79;27.89;21.64;4;10;0;0;0;0;3;0;0;0;0;0;0;19.68;28;3;1;16;0;6.42;16.91;17.17;0;115.27;74.81;101.67;16.11;5.24;29.96;15.14;4;4;0;0;0;3;8;1;0;0;0;0;0;20.72;27;4;3;11;0;4.78;7.2;17.95;0;71.85;45.41;101.87;18.73;10.5;36.19;23.01;11;5;10;0;0;0;21;0;0;0;0;0;0;12.87;29;1;1;23;0;12.35;12.35;12.87;0;53.41;36.24;92.77;19.91;14.2;36.84;18.89;10;10;13;0;0;0;10;0;0;0;0;0;0;183.8;16;15;6;9;3;12.16;42.6;84.49;3;217.4;40.19;102.02;19.66;12.63;31.79;21.62;1;3;2;0;0;2;7;0;0;0;0;0;0;117.99;17;13;4;6;2;8.9;21.37;82.48;3;319.34;231.15;114.36;20.99;15.68;31.24;23.33;3;6;6;0;0;0;13;0;0;0;0;0;0;195.99;16;15;5;5;3;12.88;47.05;88.57;3;517.82;419.64;119.57;21.26;16.39;31.53;24.78;3;6;12;0;0;1;27;0;0;0;0;0;0;115.57;23;8;3;11;3;14.16;37.05;90.52;3;589.3;428.33;128.0;20.32;15.6;31.11;21.42;0;7;4;0;0;1;9;0;0;0;0;0;0;369.04;9;19;9;4;5;19.41;78.44;202.59;6;680.49;505.24;128.62;19.66;15.41;31.28;27.21;3;1;9;0;0;2;31;0;0;0;0;0;0;79.5;22;9;4;9;0;8.59;19.16;38.82;0;614.88;551.92;134.43;18.82;11.56;30.03;24.17;2;1;1;0;0;9;19;0;0;0;0;0;0;27.23;26;4;1;12;0;5.89;7.21;16.13;0;492.56;475.74;153.33;17.39;9.27;29.57;22.55;8;6;0;0;0;1;8;0;0;0;0;0;0;11.91;29;2;1;26;0;5.36;9.68;10.84;0;473.22;117.76;1
